,h,s,v,num
132305,109,73,28,644
138208,109,70,29,592
140375,109,68,30,574
155305,109,66,31,466
161503,109,64,32,427
166316,109,62,33,398
183006,111,62,41,314
186863,113,68,45,298
187759,111,64,40,294
187959,111,61,42,293
191680,113,67,46,278
192997,111,74,45,273
196597,111,75,44,260
196790,111,65,39,259
198790,111,67,38,252
198912,113,70,44,252
202415,113,71,43,239
203705,111,69,37,235
205267,111,75,34,230
205772,111,77,43,228
207445,111,77,33,223
207540,113,102,30,223
209219,111,80,32,218
209585,111,88,29,217
211136,111,72,46,212
214279,111,82,31,203
217307,111,85,30,195
217945,111,91,28,193
218063,111,71,47,193
218808,111,73,35,191
220261,113,65,47,187
223735,112,81,47,179
224112,112,80,48,178
227057,111,71,36,171
227492,116,76,47,170
229571,112,83,46,165
230579,113,99,31,163
231958,111,69,48,160
235514,112,78,49,153
236451,116,108,33,151
236884,111,79,42,150
237622,116,78,46,149
238090,116,74,48,148
238646,116,105,34,147
241695,113,73,42,141
241696,112,77,50,141
243159,120,82,31,138
246396,111,100,33,132
250661,111,118,28,125
251180,113,106,29,124
251899,111,114,29,123
252479,111,107,31,122
252480,111,81,41,122
253182,111,92,36,121
253803,113,64,48,120
255769,111,104,32,117
255987,111,95,35,117
256402,113,87,35,116
257155,113,90,34,115
258750,120,85,30,113
258895,116,73,49,112
259036,111,98,34,112
260309,111,68,49,110
261216,113,96,32,109
261827,116,112,32,108
262622,116,102,35,107
262826,112,85,45,107
263103,112,75,51,106
264160,113,85,36,105
267053,111,111,30,101
267692,113,81,38,100
267734,108,135,32,100
269353,111,83,40,98
270011,111,66,50,97
270143,113,93,33,97
271173,112,120,32,96
271221,112,116,33,96
271787,113,75,41,95
271788,113,109,28,95
271789,120,62,33,95
272349,111,85,39,94
272507,108,128,34,94
273537,113,77,40,93
273543,120,80,32,93
273544,113,62,49,93
273878,110,139,33,93
275860,112,123,31,90
277276,111,87,38,89
277777,113,83,37,88
279714,111,90,37,86
279779,111,64,52,86
281568,108,131,33,84
284442,111,65,51,81
285382,116,71,50,80
285623,113,78,39,80
286909,116,115,31,79
287551,111,63,53,78
288898,120,88,29,77
289164,110,143,32,77
290903,108,124,35,75
290920,108,111,39,75
291141,120,64,32,75
291174,108,90,48,75
291847,108,117,37,74
291899,113,61,50,74
293359,113,85,48,73
294584,109,74,83,72
294635,113,117,35,72
295513,116,79,45,71
295527,112,74,52,71
295860,116,78,49,71
295861,109,76,81,71
296255,120,73,28,70
296799,108,92,47,70
296856,111,72,81,70
298043,113,113,36,69
298100,111,74,79,69
298834,120,61,42,68
299173,108,65,67,68
299343,113,120,34,68
300560,108,108,40,67
300660,113,80,51,67
300661,111,73,80,67
300664,109,64,84,67
301319,120,68,30,66
301354,125,94,30,66
301816,113,124,33,66
302791,108,114,38,65
302792,108,140,31,65
304314,112,87,44,64
304396,113,83,49,64
305307,111,61,54,63
305314,108,120,36,63
305744,113,128,32,63
305755,111,75,78,63
306153,116,114,38,63
306499,108,96,45,62
306565,116,80,48,62
308097,120,62,41,61
308098,120,69,37,61
308185,110,121,38,61
308405,116,119,30,61
309106,120,70,29,60
309112,108,94,46,60
309446,113,87,47,60
309899,115,121,38,60
310181,116,111,39,60
311113,109,131,41,59
311186,113,82,50,59
311187,109,75,82,59
311202,112,113,34,59
311739,120,64,40,58
311902,108,99,44,58
312017,125,97,29,58
312385,111,124,41,58
313395,109,66,81,57
313662,120,66,31,57
316284,116,70,51,55
316413,108,101,43,55
316426,108,106,41,55
316573,125,90,31,55
316883,113,110,37,55
317481,108,67,65,54
317723,113,78,52,54
318207,111,76,77,54
318461,111,61,83,54
319813,109,128,42,53
319865,112,109,35,53
320562,111,61,84,52
320788,116,81,44,52
321310,115,115,40,52
321346,120,65,39,52
321728,125,107,31,52
321985,140,85,84,52
323001,110,124,37,51
323076,116,77,50,51
323876,108,87,50,50
324063,108,62,70,50
324147,109,65,82,50
324568,109,77,80,50
324670,109,70,77,50
324671,109,65,83,50
324672,111,62,82,50
324899,111,128,40,50
324971,120,67,38,50
326045,108,66,66,49
326407,112,89,43,49
326428,108,103,42,49
326500,116,96,37,49
326557,110,135,34,49
326577,116,99,36,49
326578,109,77,79,49
326748,109,73,84,49
326749,110,127,36,49
327343,138,71,83,49
327977,112,128,30,48
328085,109,79,77,48
328093,110,118,39,48
329676,108,145,30,47
330168,120,65,47,47
330178,115,118,39,47
331244,108,80,54,46
331624,149,61,84,46
331625,149,62,82,46
331638,110,79,84,46
331639,120,77,33,46
331745,113,77,53,46
331978,116,106,36,46
332523,125,104,32,46
333015,108,63,69,45
333016,108,85,51,45
333632,149,61,83,45
333645,111,79,74,45
333723,114,73,84,45
334098,110,80,83,45
334714,112,72,53,44
334977,116,69,52,44
335427,109,69,78,44
336951,108,64,68,43
337226,112,132,29,43
337667,111,72,82,43
337684,116,81,47,43
338047,110,81,82,43
338048,112,69,81,43
338363,109,134,40,43
338975,120,75,34,42
339233,110,102,45,42
339249,120,62,49,42
339356,109,78,78,42
339357,112,103,37,42
339358,110,112,41,42
339359,109,122,44,42
339764,109,125,43,42
341088,108,69,63,41
341278,108,61,71,41
341764,151,68,83,41
341779,111,80,73,41
341780,111,82,84,41
341791,111,71,83,41
341845,116,75,51,41
341846,111,64,80,41
341859,116,103,37,41
341860,111,121,42,41
342273,111,70,84,41
342600,140,86,83,41
343090,112,106,36,40
343174,108,77,56,40
343176,109,68,79,40
343789,108,83,52,40
343790,109,83,74,40
343791,109,81,76,40
345181,138,70,84,40
345624,108,82,53,39
345638,120,64,48,39
345989,110,109,42,39
346042,113,89,46,39
346043,120,71,36,39
346044,120,73,35,39
346154,112,81,79,39
346155,112,70,80,39
346452,125,61,46,39
347635,108,68,64,38
347742,108,72,60,38
348246,109,72,74,38
348347,111,78,75,38
348348,112,80,80,38
348349,112,67,84,38
348361,109,141,38,38
348421,111,119,43,38
349340,116,116,33,38
349860,159,62,66,38
350169,109,107,50,37
350250,124,62,33,37
350251,120,93,33,37
350538,108,88,49,37
350584,116,83,43,37
350750,112,83,77,37
350751,109,80,67,37
350760,115,124,37,37
350818,109,67,80,37
350819,110,115,40,37
352236,108,79,55,36
352697,112,101,38,36
352753,153,64,84,36
352762,109,84,73,36
352763,109,70,76,36
352838,108,149,29,36
352869,120,67,46,36
352870,114,74,83,36
352887,110,107,43,36
352942,112,93,41,36
354804,111,63,81,35
355016,112,71,54,35
355094,108,76,57,35
355653,112,91,42,35
355661,109,109,49,35
356120,116,61,84,35
356134,161,64,64,35
357176,110,69,67,34
357185,108,73,59,34
357186,111,65,78,34
357277,124,73,28,34
357819,109,82,75,34
357924,112,72,78,34
357925,111,73,70,34
357926,112,68,83,34
357931,116,113,34,34
358210,113,107,38,34
358491,120,96,32,34
358881,140,61,83,34
358957,144,61,79,34
358964,116,117,37,34
359984,112,64,60,33
360079,125,100,28,33
360513,157,70,84,33
360538,109,137,39,33
360588,108,75,58,33
360624,111,77,76,33
361152,116,62,82,33
361267,149,92,83,33
362242,161,65,63,32
362243,159,63,65,32
362260,110,61,75,32
362261,112,61,63,32
362468,108,71,61,32
362552,108,155,28,32
363093,111,72,71,32
363197,109,85,72,32
363303,112,68,82,32
363304,112,71,79,32
364163,148,95,70,32
364374,110,87,76,32
365707,120,102,30,31
365776,124,66,31,31
366092,169,85,51,31
366190,156,65,83,31
366191,156,66,81,31
366218,109,116,46,31
366219,111,83,83,31
366294,109,71,75,31
366295,112,84,76,31
366296,112,79,81,31
366307,116,109,35,31
366678,130,64,36,31
366988,161,63,65,31
367838,112,70,55,30
367839,113,76,54,30
368091,108,70,62,30
368178,110,88,52,30
368191,110,100,46,30
368358,166,61,63,30
368764,154,70,84,30
368782,112,96,40,30
368900,112,82,78,30
369239,113,132,31,30
369336,110,104,44,30
370209,140,61,84,30
371300,125,67,42,29
371301,124,68,30,29
371543,113,74,55,29
371638,112,68,56,29
371656,110,70,66,29
371735,124,64,32,29
372207,110,82,81,29
372208,109,79,68,29
372307,112,76,84,29
372308,111,65,79,29
372576,111,116,44,29
372577,111,131,39,29
372863,116,61,83,29
373419,140,87,82,29
373420,144,61,80,29
374361,110,72,64,28
374818,110,71,65,28
374934,162,67,84,28
374948,110,94,49,28
374949,116,94,38,28
374950,116,89,40,28
375080,112,75,75,28
375419,116,123,29,28
375420,110,98,47,28
375566,170,70,84,28
375997,169,83,52,28
376268,112,130,43,28
376468,144,65,75,28
377318,140,67,76,28
377929,110,82,56,27
377930,110,79,58,27
378404,110,66,70,27
378477,146,67,84,27
378498,110,83,80,27
378499,113,105,39,27
378562,112,137,28,27
378563,112,62,62,27
378564,120,91,28,27
378585,114,75,82,27
378589,115,127,36,27
378651,115,112,41,27
379196,116,87,41,27
379201,125,111,30,27
379681,118,95,51,27
381021,116,63,57,26
381022,112,63,61,26
381511,110,148,31,26
381653,157,76,84,26
381654,159,71,83,26
381655,149,64,80,26
381791,116,92,47,26
382140,111,109,47,26
382292,161,61,67,26
382584,120,90,34,26
382585,116,63,81,26
382610,138,73,35,26
383088,112,81,82,26
383302,142,65,71,26
383303,138,72,82,26
384636,130,62,37,25
384979,112,98,39,25
385416,109,119,45,25
385434,120,61,50,25
385520,157,72,82,25
385521,149,63,81,25
385522,156,65,82,25
385548,120,99,31,25
385549,125,88,32,25
385557,109,130,47,25
385558,109,133,46,25
385635,110,96,48,25
385636,116,67,84,25
385699,167,64,84,25
386057,113,91,45,25
386306,113,102,40,25
386307,112,77,83,25
387038,142,62,74,25
387624,140,68,75,25
388007,112,65,59,24
388092,116,66,54,24
388120,111,71,72,24
388573,110,62,74,24
388673,116,85,42,24
388674,116,83,46,24
388802,153,65,83,24
388826,110,84,79,24
388827,124,70,29,24
388978,112,76,74,24
388979,112,73,77,24
389908,120,77,40,24
390066,156,118,84,24
390067,162,118,82,24
390748,116,108,40,24
391892,160,70,66,24
391893,143,61,71,24
392262,133,62,29,23
392497,116,67,53,23
392498,110,92,50,23
392603,110,81,57,23
392607,111,113,45,23
393095,109,103,52,23
393096,109,114,47,23
393097,110,87,53,23
393219,153,65,82,23
393220,153,67,80,23
393250,110,90,51,23
393342,116,85,45,23
393343,120,68,45,23
393426,110,90,74,23
393724,152,62,58,23
393760,109,101,73,23
394077,110,88,75,23
394222,149,91,84,23
394223,151,89,83,23
394608,111,84,82,23
394664,159,64,64,23
394813,139,91,84,23
394888,115,85,54,23
395443,140,62,82,23
395472,148,62,62,23
396775,109,112,48,22
396776,109,128,48,22
396904,109,105,51,22
396905,111,67,76,22
397833,112,74,76,22
398057,151,88,84,22
398058,156,120,83,22
398059,152,94,81,22
398577,152,97,79,22
398772,140,89,80,22
400046,158,121,82,22
400053,140,66,77,22
400074,149,152,84,22
400400,164,67,84,21
400401,170,68,34,21
400411,130,66,35,21
400663,116,92,39,21
400753,113,69,59,21
401474,155,76,84,21
401475,155,77,83,21
401476,151,67,84,21
401477,156,67,80,21
401478,150,61,80,21
401518,109,81,66,21
402109,116,62,58,21
402417,148,63,61,21
402585,169,80,54,21
402977,125,74,38,21
403007,110,86,77,21
403008,114,76,81,21
403335,129,115,31,21
403336,115,92,50,21
403337,138,75,34,21
403338,138,77,33,21
404217,143,62,70,21
404412,130,70,33,20
404413,170,64,36,20
404428,130,68,34,20
404429,110,64,72,20
404825,111,89,57,20
405015,167,68,79,20
405448,115,87,53,20
405449,116,64,80,20
405589,151,68,82,20
405590,153,66,81,20
405591,163,73,84,20
405592,156,68,79,20
405593,156,69,78,20
405594,154,73,80,20
405595,154,72,81,20
405637,110,67,69,20
405638,111,85,81,20
405639,110,85,78,20
405659,109,82,65,20
405809,122,74,48,20
405810,111,77,66,20
405811,112,85,75,20
405812,111,66,77,20
406792,169,72,60,20
407117,149,93,82,20
407118,156,123,81,20
407562,120,87,35,20
407867,140,88,81,20
407868,142,61,75,20
407967,129,119,30,20
409250,138,61,84,20
409251,140,65,78,20
409252,152,61,59,20
409253,145,67,65,20
409673,112,67,57,19
409674,148,61,63,19
410012,116,65,55,19
410025,170,61,63,19
410026,125,70,40,19
410617,110,85,54,19
410618,116,74,52,19
410766,154,71,83,19
410767,159,74,79,19
410768,164,74,83,19
410769,164,68,83,19
410797,111,70,73,19
410798,109,73,73,19
410799,125,83,34,19
410924,111,76,67,19
410925,110,65,71,19
410926,111,75,68,19
410927,115,83,55,19
411311,116,88,49,19
411510,167,70,84,19
411808,112,78,82,19
412052,151,92,80,19
412053,146,103,72,19
412665,169,87,50,19
412868,141,79,84,19
412869,144,64,76,19
412870,144,63,77,19
412954,110,131,35,19
414386,110,74,62,18
414393,113,73,56,18
414398,111,138,37,18
414410,110,63,73,18
414590,161,62,66,18
415228,162,68,82,18
415229,162,64,80,18
415230,162,61,83,18
415231,157,61,75,18
415232,157,65,71,18
415270,110,68,68,18
415271,125,78,36,18
415295,111,127,46,18
415397,109,145,37,18
415434,111,83,71,18
415435,109,90,68,18
415436,109,89,69,18
415437,112,66,58,18
415452,112,134,42,18
415884,111,111,46,18
416117,116,123,31,18
416656,109,93,66,18
416851,169,82,53,18
417393,112,82,81,18
417504,152,91,84,18
419548,162,120,81,18
419549,159,121,82,18
419562,138,73,80,18
419602,148,141,83,18
420060,170,65,83,17
420378,125,80,35,17
420379,170,74,31,17
420476,111,78,65,17
421310,155,78,82,17
421311,157,71,83,17
421312,151,70,80,17
421313,160,73,84,17
421314,153,75,82,17
421315,159,66,81,17
421316,162,71,79,17
421345,133,64,28,17
421367,111,106,48,17
421454,116,120,32,17
421478,112,77,73,17
421479,111,69,74,17
421480,112,81,69,17
421481,109,87,70,17
421586,167,61,83,17
422116,167,70,77,17
422432,166,69,63,17
422544,112,83,80,17
422735,151,91,81,17
422736,145,105,73,17
422737,149,86,68,17
422738,157,76,77,17
423269,113,93,44,17
423284,125,72,39,17
423285,122,108,33,17
423432,152,98,78,17
423433,150,96,82,17
423434,151,95,78,17
423435,160,71,65,17
423497,148,64,60,17
423599,116,68,83,17
423788,112,123,52,17
424769,162,117,83,17
424780,141,73,73,17
425383,112,83,68,16
425467,113,72,57,16
425637,164,73,84,16
426172,110,75,61,16
426215,120,70,44,16
426383,151,69,81,16
426384,164,61,84,16
426385,163,74,83,16
426386,157,73,80,16
426387,157,72,81,16
426388,157,62,74,16
426413,109,86,71,16
426414,111,120,49,16
426581,113,70,58,16
426582,111,88,67,16
426583,116,87,50,16
426733,111,68,75,16
427130,116,100,51,16
427131,109,125,49,16
427132,109,139,44,16
427133,109,122,50,16
427379,166,68,64,16
427381,113,100,41,16
427431,170,67,80,16
428271,146,111,78,16
428272,151,90,82,16
428273,155,124,82,16
428274,158,120,83,16
428881,144,62,78,16
428882,140,90,79,16
429103,144,66,73,16
429106,153,87,82,16
429107,152,92,83,16
429108,151,99,75,16
429374,138,79,84,16
429375,141,72,74,16
429376,142,63,73,16
429514,118,113,43,16
431333,162,123,79,16
431347,140,65,79,16
431348,138,72,81,16
431385,147,140,84,16
431386,148,137,82,16
431387,149,138,83,16
431404,150,146,84,16
431901,111,100,51,15
431902,167,65,83,15
431903,116,61,59,15
432208,109,149,36,15
432296,116,72,53,15
432302,110,83,55,15
432309,120,75,41,15
433016,125,68,41,15
433184,167,61,84,15
433185,162,63,81,15
433186,157,64,72,15
433220,128,94,30,15
433347,111,146,35,15
433348,116,128,28,15
433363,125,62,45,15
433364,112,78,72,15
433365,109,74,72,15
433366,116,65,78,15
433367,111,74,69,15
433368,113,68,60,15
433967,125,65,43,15
434003,170,72,81,15
434004,170,66,81,15
434383,170,64,60,15
434443,120,106,29,15
434444,116,65,79,15
434753,146,113,77,15
434754,147,90,82,15
434755,150,90,68,15
434756,149,68,75,15
435064,170,75,78,15
435223,151,97,76,15
