,h,s,v,num
1,110,255,9,127996
4,120,255,9,82251
5,113,255,9,70017
7,115,255,11,56320
9,117,255,9,49094
72,108,255,10,43554
192,113,255,12,38522
194,109,255,11,38477
722,120,255,11,31537
949,112,255,11,30093
2931,120,255,12,22889
3199,108,255,12,22209
3592,111,255,10,21378
5597,110,255,12,17694
6656,117,255,10,16043
6948,117,255,11,15621
8021,111,255,13,14300
8190,115,255,12,14103
9065,114,255,10,13220
12113,111,255,14,10742
12793,118,255,12,10269
12859,116,255,14,10215
13728,109,255,14,9673
16416,109,227,9,8292
17749,120,255,14,7743
18485,114,142,9,7448
18682,114,255,14,7378
18966,108,255,13,7288
20889,120,227,9,6672
26853,113,255,13,5176
28646,114,255,16,4856
29341,115,170,9,4738
31673,120,255,16,4382
32332,118,255,13,4284
32509,120,255,10,4260
33427,126,142,9,4132
34510,120,57,9,3987
35453,111,255,16,3877
35586,108,255,15,3861
36230,115,255,13,3791
37055,113,255,16,3702
37166,123,255,9,3691
39899,110,255,15,3432
40617,120,204,10,3366
42242,124,227,9,3228
42592,110,85,9,3201
42760,118,255,14,3188
45370,114,255,15,2990
46230,130,255,9,2929
46545,110,51,15,2909
46629,109,204,10,2903
47757,110,55,14,2827
48807,110,48,16,2756
49407,173,113,9,2716
50158,109,255,16,2670
50841,110,64,12,2632
51039,110,59,13,2620
51215,110,45,17,2610
53289,110,40,19,2493
53770,120,232,11,2465
54248,110,43,18,2442
55276,112,255,15,2391
55755,110,36,21,2367
55973,110,35,22,2356
56403,113,255,18,2336
56622,110,70,11,2325
56824,110,38,20,2315
57356,120,51,10,2288
57376,114,128,10,2287
58012,123,255,10,2254
58184,110,33,23,2246
59294,111,232,11,2195
59644,110,77,10,2180
59712,120,46,11,2177
60465,125,170,9,2145
60550,120,255,18,2141
62871,110,32,24,2045
63389,120,24,21,2024
64674,120,23,22,1974
65036,110,31,25,1961
65057,110,29,26,1960
65221,120,36,14,1954
65670,116,255,16,1939
66523,120,43,12,1907
67557,120,255,13,1869
68089,120,22,23,1850
68129,120,26,20,1849
68523,120,39,13,1835
68998,170,255,9,1818
70462,118,255,16,1767
71475,120,32,16,1734
72069,120,34,15,1714
72407,123,255,12,1704
72515,120,21,24,1701
