,h,s,v,num
5733,111,15,174,17462
6145,111,15,167,16834
6370,111,15,175,16470
6595,111,15,170,16120
6830,111,15,169,15789
6832,111,15,166,15786
6835,108,24,182,15783
6861,111,15,168,15750
6915,111,15,171,15668
6971,111,15,172,15589
6991,108,24,183,15558
7045,111,16,163,15490
7056,108,24,181,15475
7163,108,23,189,15348
7167,108,24,180,15337
7168,108,24,184,15333
7182,111,15,165,15315
7218,111,16,164,15270
7243,111,15,173,15245
7292,108,23,188,15186
7348,108,23,185,15112
7477,108,23,187,14936
7502,108,23,190,14902
7570,108,23,186,14810
7661,110,25,184,14717
7773,108,24,179,14580
7848,108,25,174,14498
7892,108,25,175,14449
7947,108,23,191,14393
7983,110,25,185,14337
7988,110,25,183,14333
8052,108,25,176,14259
8061,108,25,173,14245
8140,108,25,172,14157
8141,108,24,177,14157
8224,108,24,178,14060
8250,110,25,182,14037
8254,110,25,186,14033
8263,108,23,192,14022
8291,111,19,173,13989
8292,111,20,170,13989
8340,111,19,171,13931
8391,111,18,186,13874
8400,111,19,172,13862
8407,110,25,181,13857
8460,108,22,193,13786
8479,111,16,162,13767
8480,108,22,194,13767
8487,111,18,184,13760
8498,111,18,185,13750
8515,108,26,168,13734
8556,108,25,171,13702
8563,111,18,181,13697
8575,111,18,182,13681
8576,111,18,180,13681
8613,110,26,180,13633
8623,111,19,174,13618
8643,111,18,187,13604
8682,108,26,167,13568
8691,111,20,169,13564
8708,111,16,160,13551
8844,111,19,179,13405
8866,110,24,188,13389
8908,111,18,183,13358
8911,110,25,187,13357
8934,108,26,170,13340
8944,111,19,176,13333
8963,110,24,189,13312
8969,108,22,195,13309
8981,111,20,168,13297
8992,108,26,169,13288
9037,111,19,178,13246
9040,111,20,166,13243
9070,111,19,175,13214
9148,111,19,177,13144
9247,111,16,159,13054
9296,110,26,179,13009
9363,111,20,167,12940
9374,111,16,161,12935
9387,108,22,196,12922
9404,108,26,166,12905
9420,111,18,188,12891
9427,110,24,190,12887
9495,111,20,165,12827
9528,110,26,175,12787
9549,111,17,192,12767
9602,108,22,201,12732
9676,108,22,200,12669
9706,111,17,193,12652
9713,110,24,191,12649
9787,111,18,189,12598
9802,111,16,158,12582
9826,111,17,194,12557
9852,108,22,197,12530
9853,110,26,174,12530
9871,110,26,176,12510
9874,110,26,178,12508
9900,110,24,192,12486
9911,108,21,202,12480
9957,111,17,191,12445
10007,108,22,198,12397
10093,111,16,156,12330
10099,108,26,165,12320
10104,111,17,190,12310
10159,112,22,173,12267
10164,111,20,164,12265
10173,110,26,177,12256
10180,111,20,163,12244
10197,108,22,199,12228
10227,113,23,181,12206
10266,112,22,174,12173
10283,111,16,157,12161
10398,113,24,173,12058
10439,111,17,195,12025
10507,113,23,180,11966
10523,113,23,174,11950
10606,113,17,177,11888
10624,110,24,193,11876
10628,108,21,203,11871
10634,110,24,195,11867
10648,110,27,173,11854
10717,108,26,164,11803
10724,113,17,178,11800
10741,111,20,162,11786
10744,110,27,168,11784
10745,113,22,182,11784
10779,112,21,185,11755
10788,112,21,186,11747
10849,110,24,194,11689
10852,110,27,172,11688
10860,113,23,175,11679
10870,108,27,161,11671
10888,111,17,196,11659
10893,110,27,169,11652
10929,111,17,197,11626
10933,112,22,172,11623
10969,111,21,159,11604
11007,108,27,160,11577
11025,113,23,179,11562
11037,112,20,187,11553
11086,111,21,160,11517
11100,113,22,183,11502
11110,113,17,179,11496
11171,111,17,198,11446
11205,110,27,170,11412
11209,113,18,172,11406
11245,110,27,171,11378
11258,112,21,184,11369
11264,113,24,172,11366
11265,113,18,173,11366
11269,111,21,161,11363
11276,113,22,187,11360
11286,110,23,196,11355
11295,112,22,171,11344
11303,108,21,204,11333
11327,113,22,184,11320
11331,113,17,176,11316
11375,113,18,166,11285
11379,113,22,186,11283
11403,112,20,188,11265
11409,112,22,175,11260
11414,113,23,176,11253
11470,113,23,178,11211
11471,113,24,171,11210
11483,112,21,180,11199
11485,113,22,185,11197
11498,113,18,174,11193
11499,113,22,188,11193
11510,112,21,182,11187
11534,113,23,177,11172
11567,111,16,155,11146
11569,112,21,183,11144
11596,112,21,181,11122
11598,108,27,163,11121
11638,113,19,165,11095
11642,113,22,189,11093
11693,111,17,199,11057
11710,113,17,185,11042
11717,113,17,180,11040
11723,113,18,171,11034
11760,110,23,197,11005
11788,108,27,162,10981
11791,113,24,170,10978
11797,113,24,169,10975
11828,113,25,166,10951
11845,113,17,184,10940
11846,113,16,187,10940
11890,112,21,179,10910
11898,111,21,158,10905
11954,112,23,167,10866
11997,112,23,166,10840
12009,113,21,190,10832
12023,113,18,170,10815
12042,113,17,175,10800
12043,111,17,200,10800
12075,112,21,178,10776
12086,112,20,189,10770
12099,113,17,181,10757
12111,110,23,198,10743
12170,112,22,176,10712
12205,113,19,158,10694
12206,113,16,186,10694
12235,112,23,170,10670
12246,112,23,165,10658
12297,113,18,167,10618
12307,110,23,199,10612
12326,110,27,167,10595
12351,108,27,159,10578
12365,113,17,182,10562
12400,113,24,167,10530
12407,108,21,205,10524
12416,113,18,169,10519
12422,110,23,200,10516
12459,112,23,168,10494
12469,113,19,159,10490
12487,116,21,181,10480
12507,112,23,169,10466
12509,113,24,168,10463
12517,113,17,183,10459
12530,111,21,157,10453
12600,112,22,177,10395
12632,116,19,186,10378
12635,112,20,190,10377
12638,113,21,191,10377
12666,110,28,166,10359
12692,113,16,188,10334
12791,113,18,168,10270
12819,116,19,187,10248
12851,116,21,182,10219
12871,108,21,206,10206
12886,110,23,201,10195
12891,111,17,153,10189
12940,120,15,173,10159
12972,110,28,165,10139
12998,120,15,172,10122
13028,113,19,164,10100
13036,116,21,180,10096
13064,111,21,156,10078
13087,111,17,154,10065
13119,113,16,189,10046
13124,116,21,185,10044
13135,116,21,184,10039
13140,113,25,165,10033
13238,116,21,186,9967
13242,116,20,183,9966
13272,120,15,171,9945
13277,116,23,168,9940
13295,112,23,164,9933
13321,116,20,182,9912
13322,110,23,202,9908
13339,116,20,187,9895
13347,120,15,174,9890
13352,116,21,183,9889
13358,108,27,158,9882
13364,116,19,185,9881
13391,110,28,164,9864
13427,112,20,193,9842
13444,108,21,207,9834
13488,116,21,179,9804
13503,113,16,192,9793
13529,113,21,192,9781
13562,111,16,201,9765
13564,116,19,188,9764
13579,120,15,165,9757
13590,116,20,180,9750
13656,110,23,203,9716
13657,116,22,175,9716
13669,113,16,190,9708
13707,113,19,160,9682
13720,112,20,191,9677
13724,112,20,195,9675
13734,120,15,175,9669
13748,116,20,181,9663
13749,120,17,181,9662
13757,113,16,191,9654
13776,112,20,194,9642
13789,112,20,192,9633
13838,116,22,174,9610
13893,120,15,166,9570
13900,113,21,193,9567
13910,120,16,164,9557
13940,116,20,188,9538
13963,116,23,167,9525
13977,113,16,193,9518
13983,120,17,180,9514
13990,120,18,168,9511
14005,113,19,157,9505
14009,120,15,170,9503
14028,120,18,167,9495
14049,116,20,179,9481
14055,110,28,163,9477
14099,116,19,184,9450
14103,116,21,170,9448
14111,116,22,176,9443
14126,111,16,202,9436
14143,116,21,174,9427
14147,116,20,176,9425
14229,116,23,169,9375
14258,116,20,177,9360
14266,111,17,152,9353
14311,116,21,173,9326
14337,111,16,203,9314
14352,116,22,173,9309
14368,111,16,205,9302
14385,120,17,179,9294
14389,113,21,194,9292
14392,113,19,163,9290
14399,116,21,169,9287
14441,111,16,204,9260
14448,116,22,177,9258
14452,116,20,178,9255
14461,113,21,195,9251
14463,116,21,172,9250
14470,116,21,168,9246
14473,112,20,196,9244
14478,116,20,175,9243
14479,120,18,169,9243
14490,120,18,170,9237
14511,120,15,167,9219
14512,111,16,206,9219
14532,116,21,178,9206
14553,108,21,208,9192
14560,120,17,183,9189
14592,116,19,189,9175
14595,120,16,163,9172
14615,120,17,182,9160
14629,116,21,171,9150
14637,112,23,163,9146
14651,116,20,189,9140
14670,116,23,170,9132
14696,112,19,197,9119
14700,116,22,172,9118
14705,113,25,164,9113
14716,120,18,173,9107
14734,120,18,174,9097
14782,120,18,166,9072
14829,120,16,186,9042
14872,120,15,169,9023
14879,120,17,177,9018
14891,116,21,167,9011
14906,120,17,176,9004
14916,110,23,204,9000
14943,113,16,194,8990
14961,120,17,184,8981
14962,113,21,196,8981
15014,120,17,178,8957
15019,116,22,171,8956
15023,120,17,185,8955
15028,108,21,209,8953
15036,120,18,172,8948
15069,120,18,171,8933
15118,120,15,168,8905
15144,113,19,162,8890
15162,112,24,160,8879
