,h,s,v,num
13412,21,15,170,9852
13846,21,16,155,9604
13888,21,15,166,9573
13903,21,17,153,9565
13982,21,16,157,9516
14033,21,15,167,9492
14141,21,16,156,9428
14159,21,16,164,9421
14176,21,16,159,9408
14205,21,17,154,9394
14283,21,16,162,9341
14338,21,15,165,9314
14528,21,15,171,9210
14531,21,15,168,9207
14551,21,16,160,9193
14596,21,16,158,9172
14630,21,16,163,9149
14662,21,15,169,9136
14809,16,18,154,9054
14926,21,15,172,8995
15001,21,16,161,8964
15131,30,16,158,8897
15132,30,16,157,8897
15305,30,16,159,8801
15530,16,18,156,8701
15584,30,16,160,8674
15602,16,18,153,8665
15679,16,18,157,8618
15779,16,18,155,8573
15792,30,16,164,8568
15798,16,18,158,8566
15812,13,15,157,8562
15864,30,16,156,8535
15868,21,15,173,8533
15917,30,16,163,8509
15945,13,15,158,8499
16113,13,15,156,8416
16139,30,16,161,8403
16222,30,15,165,8371
16320,13,15,155,8337
16330,30,16,162,8334
16361,16,18,159,8319
16417,30,17,153,8292
16893,30,16,155,8087
16910,13,15,154,8081
16922,30,15,166,8074
17079,16,18,160,8016
17167,30,17,154,7977
17168,16,17,162,7977
17193,21,15,174,7964
17203,30,19,158,7959
17357,30,19,157,7894
17464,13,15,153,7852
17483,16,17,163,7843
17550,16,17,165,7817
17653,16,17,170,7782
17803,16,17,161,7720
17824,16,17,164,7711
17888,16,16,171,7693
18051,30,20,156,7627
18166,30,15,171,7581
18198,30,15,167,7567
18259,21,15,175,7538
18349,30,15,170,7505
18355,23,19,159,7503
18379,16,16,172,7494
18385,23,19,162,7490
18386,16,17,166,7489
18391,23,19,160,7488
18531,30,19,159,7433
18542,23,19,161,7430
18671,16,17,167,7382
18751,16,17,169,7356
18763,30,15,168,7353
18822,30,15,169,7340
18871,23,18,166,7322
18948,23,19,158,7294
19040,16,16,173,7259
19138,23,19,164,7232
19209,16,17,168,7212
19248,23,19,163,7197
19259,21,20,162,7194
19300,30,20,155,7182
19317,23,19,165,7178
19424,16,16,174,7133
19464,21,20,163,7117
19504,30,15,172,7105
19517,21,21,160,7100
19660,21,21,161,7053
19687,30,19,160,7044
19711,30,19,163,7033
19715,30,19,165,7032
19734,23,19,157,7026
19863,30,19,164,6985
19966,30,15,173,6955
20153,30,20,153,6899
20196,30,20,154,6880
20280,30,19,162,6854
20359,16,16,176,6830
20377,16,16,175,6824
20395,21,20,164,6818
20431,23,18,167,6808
20577,30,19,161,6765
20579,23,18,168,6765
