,h,s,v,num
14094,103,198,9,9454
39249,75,103,77,3489
40082,75,95,83,3416
40302,75,96,82,3396
40628,75,94,84,3365
41667,75,99,80,3272
41935,75,98,81,3252
43389,75,101,78,3138
43607,103,179,10,3122
44250,75,100,79,3075
44280,75,104,76,3073
49506,75,105,75,2710
53050,75,107,74,2507
53256,75,108,73,2495
55974,75,110,72,2356
56064,96,142,9,2352
56790,75,113,70,2317
57307,74,77,80,2290
57427,96,85,15,2284
57445,96,80,16,2283
58172,75,118,67,2247
58342,75,116,68,2238
58470,103,99,18,2232
58746,75,124,64,2220
58785,75,125,63,2218
58829,75,111,71,2216
59490,75,122,65,2187
59827,96,91,14,2172
59863,96,75,17,2171
60116,75,115,69,2160
60549,74,76,81,2141
60572,75,120,66,2140
61036,103,94,19,2120
61357,103,89,20,2106
61540,75,130,61,2099
62345,75,127,62,2066
62549,103,105,17,2057
62577,96,71,18,2056
62630,74,77,79,2054
62814,74,81,76,2047
63077,74,75,82,2036
63194,74,78,78,2031
64123,74,79,77,1995
64371,103,74,24,1985
64872,74,73,84,1967
65335,74,82,75,1950
65427,74,84,73,1947
65613,75,132,60,1941
65621,74,74,83,1940
66060,103,78,23,1924
66150,75,100,84,1921
66224,103,85,21,1918
66420,96,67,19,1911
66605,76,100,82,1904
66796,103,81,22,1896
66946,75,57,9,1890
67301,74,85,72,1878
67529,96,98,13,1870
67738,103,71,25,1863
67758,74,83,74,1862
68064,75,89,80,1851
68651,75,90,79,1830
68709,76,101,81,1828
68919,75,85,78,1821
68992,75,92,78,1819
69003,75,134,59,1818
69045,73,82,84,1816
69084,75,79,84,1815
69111,84,114,83,1814
69176,75,87,76,1812
69423,84,115,82,1803
69491,75,136,58,1801
69536,75,101,83,1799
69602,76,98,83,1796
69700,103,112,16,1793
69719,96,64,20,1792
69803,76,102,80,1789
69880,75,82,81,1786
69881,75,80,83,1786
69983,73,84,82,1783
70061,73,76,81,1780
70236,73,83,83,1774
70489,75,81,82,1766
70494,84,112,84,1766
70622,75,86,77,1762
70624,103,69,26,1762
70708,73,85,81,1759
70812,75,86,83,1756
70842,75,103,82,1755
70878,76,103,79,1754
71015,78,91,84,1750
71068,75,88,81,1748
71156,73,73,84,1744
71203,75,87,82,1743
71275,75,84,79,1741
71471,74,73,77,1734
