,h,s,v,num
31501,73,204,124,4410
32385,73,205,123,4278
32995,74,204,121,4191
33223,73,205,117,4161
33479,73,205,112,4125
33527,74,204,129,4119
33678,74,205,128,4101
33749,73,204,110,4089
33928,73,207,122,4065
34613,74,207,127,3975
34709,73,204,126,3963
34938,74,206,120,3939
35097,74,208,126,3921
35166,73,207,116,3912
35442,73,209,121,3879
35834,73,206,109,3834
35889,74,210,125,3828
36088,73,208,124,3807
36169,73,207,111,3798
36203,73,206,125,3795
36414,73,208,115,3771
37002,73,209,123,3708
37092,73,208,108,3699
37154,74,208,129,3693
37655,74,207,123,3642
37687,74,208,119,3639
37828,73,210,114,3624
38152,74,212,124,3594
38300,74,211,121,3579
38936,74,209,122,3519
39257,73,216,117,3489
39321,74,210,118,3483
39618,73,210,107,3459
39619,74,214,123,3459
39620,73,211,122,3459
39701,74,213,120,3453
39756,74,214,125,3447
39783,73,212,113,3444
39915,74,211,127,3432
40078,73,212,119,3417
40143,74,213,126,3411
40185,73,221,114,3408
40249,74,209,128,3402
40442,73,209,110,3384
40683,73,212,106,3360
40780,74,217,121,3351
40832,73,210,120,3348
40833,73,218,116,3348
40919,73,220,117,3339
41092,73,220,115,3324
41298,74,206,130,3306
41431,73,214,118,3294
41551,74,215,122,3282
41781,75,204,130,3264
41867,74,211,117,3258
41904,74,206,124,3255
42061,74,208,140,3243
42100,74,204,131,3240
42210,75,206,129,3231
42729,74,216,124,3192
42754,74,205,142,3189
42907,73,213,121,3177
42940,74,209,139,3174
42942,74,212,137,3174
43069,73,211,109,3165
43136,74,211,138,3159
43173,75,207,128,3156
43210,74,204,125,3153
43881,74,218,123,3102
44261,74,219,120,3075
44439,74,214,119,3063
44797,73,222,116,3036
44902,73,214,105,3027
44971,74,206,141,3021
45131,74,214,130,3009
45253,73,212,108,3000
45254,74,233,125,3000
45585,73,214,112,2976
45586,74,228,115,2976
45670,74,217,134,2970
45836,74,219,122,2958
45881,74,225,129,2955
46209,75,214,124,2931
46299,75,212,125,2925
46395,74,219,133,2919
46628,74,215,129,2904
46660,74,213,116,2901
46754,74,222,131,2895
46888,74,227,128,2886
47061,73,210,131,2874
47145,75,217,122,2868
47148,73,215,120,2868
47149,73,218,118,2868
47185,74,215,135,2865
47204,73,223,113,2865
47424,76,213,129,2850
47460,74,226,116,2847
47526,73,214,107,2844
47607,73,219,126,2838
47697,73,216,119,2832
47737,74,220,132,2829
47792,74,229,127,2826
48118,75,209,127,2805
48119,73,213,129,2805
48120,73,216,104,2805
48161,74,217,128,2802
48198,74,219,127,2799
48242,75,204,116,2796
48279,76,209,132,2793
48280,75,216,123,2793
48281,74,221,119,2793
48332,74,214,136,2790
48334,73,224,115,2790
48536,76,206,134,2775
48623,76,204,135,2769
48670,74,224,130,2766
48922,74,215,115,2748
48923,74,212,131,2748
48924,73,214,131,2748
48925,73,220,125,2748
48969,75,219,121,2745
49049,74,211,132,2739
49098,74,224,117,2736
49302,74,231,116,2724
49389,73,216,111,2718
49430,73,212,130,2715
49532,73,217,127,2709
49533,74,227,118,2709
49588,73,224,123,2706
49695,76,215,128,2700
49696,76,210,131,2700
49833,73,222,124,2691
49834,74,221,121,2691
49924,76,207,133,2685
49925,74,234,124,2685
49972,73,209,132,2682
50114,75,210,126,2673
50174,74,231,126,2670
50225,74,236,123,2667
50277,74,221,126,2664
50278,74,204,136,2664
50334,74,205,107,2661
50439,76,217,127,2655
50545,74,229,117,2649
50660,74,216,118,2643
50718,73,218,110,2640
50761,73,226,122,2637
50828,73,221,104,2634
50921,73,228,121,2628
51074,73,217,106,2619
51075,74,223,120,2619
51170,74,223,118,2613
51230,73,225,112,2610
51435,75,204,111,2598
51437,74,217,114,2598
51438,73,218,103,2598
51529,73,213,132,2592
51586,75,205,133,2589
51641,73,220,109,2586
51750,75,208,131,2580
51963,73,215,128,2568
52159,75,207,132,2556
52267,74,207,134,2550
52321,73,204,121,2547
52371,73,219,105,2544
52538,74,215,133,2535
52539,75,204,134,2535
52540,75,221,120,2535
52649,74,222,125,2529
52771,74,218,131,2523
52827,75,206,115,2520
52829,74,205,139,2520
52937,74,238,122,2514
52980,76,220,125,2511
53101,74,218,117,2505
53201,74,216,132,2499
53202,74,209,133,2499
53203,75,210,130,2499
53301,75,208,114,2493
53486,75,215,127,2481
53540,73,207,133,2478
53648,76,219,126,2472
