,h,s,v,num
18959,71,166,112,7290
20313,71,168,111,6844
21488,71,167,116,6496
21990,71,172,113,6334
22017,71,169,115,6326
22197,71,166,117,6276
22364,71,171,109,6232
22377,72,166,121,6228
22427,71,169,110,6214
22612,71,170,114,6160
23586,71,172,108,5904
23611,72,167,125,5898
23776,71,173,112,5854
24125,72,168,120,5774
24251,69,122,121,5740
24287,72,102,123,5727
24340,70,166,106,5718
24613,71,175,111,5652
24615,72,102,122,5651
24655,70,168,105,5642
24656,72,169,124,5642
24678,72,166,126,5638
24755,71,174,107,5618
24774,72,177,114,5614
24791,72,173,121,5610
24929,69,121,122,5576
24957,72,104,120,5570
25008,72,180,116,5562
25014,72,169,119,5560
25038,72,170,123,5554
25039,72,176,126,5554
25086,72,103,121,5541
25168,72,175,115,5526
25183,72,171,122,5522
25203,72,105,119,5516
25205,70,169,104,5516
25219,72,179,124,5512
25239,72,172,117,5508
25251,72,171,118,5506
25254,72,106,118,5505
25328,69,123,120,5490
25330,71,176,110,5490
25487,70,171,103,5456
25516,72,177,125,5450
25556,71,178,109,5442
25589,71,176,106,5436
25685,72,174,116,5414
25726,71,179,108,5404
25766,69,124,119,5396
25813,72,107,117,5384
25823,69,127,116,5383
25833,69,129,115,5381
25909,72,177,118,5366
25993,72,183,121,5344
26043,69,120,123,5334
26065,72,180,123,5330
26066,72,182,122,5330
26184,72,176,119,5306
26259,69,125,118,5290
26260,72,179,117,5290
26430,72,178,113,5258
26459,69,126,117,5253
26464,72,188,118,5252
26628,71,177,105,5222
26709,69,166,114,5202
26718,72,174,120,5200
26796,72,180,112,5186
27141,69,167,113,5120
27165,71,179,104,5116
27226,69,119,124,5107
27259,72,108,116,5100
27263,72,175,127,5100
27319,69,115,129,5086
27536,72,182,115,5048
27661,69,118,125,5027
27741,70,168,126,5012
27812,70,173,102,4998
27885,70,167,127,4986
27973,72,186,119,4970
28006,72,185,120,4964
28024,72,183,114,4960
28028,69,130,114,4959
28163,69,116,128,4939
28193,72,173,128,4932
28208,69,116,127,4929
28320,72,190,117,4912
28346,72,181,111,4906
28354,69,117,126,4905
28360,71,181,107,4904
28578,69,114,130,4869
28785,72,172,129,4832
28814,69,168,112,4828
28877,71,181,103,4818
29298,72,109,115,4746
29326,72,185,109,4742
29450,68,103,79,4720
29481,72,183,110,4716
29557,72,110,114,4704
29573,68,102,80,4702
29620,69,131,113,4693
29771,70,171,124,4672
29887,71,183,106,4652
