,h,s,v,num
111009,63,153,117,892
111580,62,158,84,884
116121,63,153,120,824
117258,64,176,84,810
118362,64,157,78,796
120376,61,158,76,772
120853,62,160,83,766
121199,64,155,79,762
123081,61,154,78,740
123442,63,164,81,736
124728,62,166,80,722
125872,64,153,80,710
128112,64,153,117,686
128514,64,153,120,682
128521,64,178,83,682
128530,62,154,81,682
128954,64,153,123,678
129714,64,159,77,670
129919,61,156,77,668
130103,62,164,81,666
131287,61,162,77,654
131607,64,161,92,651
131619,62,156,85,651
131950,64,185,80,648
133869,62,162,82,630
134112,63,153,133,628
134857,64,157,94,621
135195,64,159,93,618
135534,64,166,89,615
135535,64,164,90,615
135887,61,160,78,612
136345,62,168,79,608
136810,64,180,82,604
136811,62,154,86,604
137647,64,156,95,597
137770,64,153,125,596
138021,63,158,84,594
138344,64,154,96,591
138467,63,162,82,590
138468,62,158,76,590
138577,64,168,88,589
138719,63,154,78,588
139422,63,166,80,582
139539,64,163,91,581
139686,62,170,78,580
141949,62,162,77,562
141956,64,153,133,562
143235,64,183,81,552
143515,64,153,127,550
145383,63,153,140,536
145489,64,172,86,535
145655,63,160,83,534
146434,64,187,79,528
146715,61,154,81,526
146716,60,153,80,526
147537,64,163,83,520
148057,62,156,77,516
148621,63,168,79,512
148936,64,190,78,510
149452,63,153,125,506
149884,63,157,117,503
149998,62,160,78,502
150277,62,154,78,500
150596,61,158,79,498
150597,60,154,76,498
150869,61,156,80,496
150991,64,170,87,495
151688,64,169,80,490
151700,64,171,79,490
152312,64,161,76,486
152313,64,176,77,486
152912,62,172,77,482
153209,64,165,82,480
153514,62,174,76,478
153882,64,192,77,476
154008,63,156,118,475
154481,64,161,84,472
155678,64,153,128,464
156214,63,158,76,460
157217,62,158,79,454
157839,63,156,77,450
158511,63,162,113,446
158762,64,167,81,444
158780,63,155,115,444
159115,63,154,116,442
159441,64,170,84,440
159758,61,164,76,438
160428,64,174,85,434
160433,62,156,80,434
160456,63,158,113,434
161421,64,178,76,428
161571,63,157,114,427
162076,64,173,78,424
162084,60,155,79,424
162088,61,154,83,424
162213,64,164,87,423
162415,63,160,115,422
163003,64,172,83,418
163040,63,154,119,418
163982,62,164,76,412
164326,64,153,135,410
164589,64,154,93,408
164663,64,195,76,408
165012,63,158,116,406
165019,61,159,80,406
165628,64,162,88,402
165992,64,155,92,400
167836,63,168,82,390
167837,64,174,82,390
168015,63,154,86,389
168182,63,164,84,388
168345,64,157,91,387
168395,62,163,103,387
169381,63,153,115,382
169700,64,179,80,380
169701,61,155,82,380
170462,64,154,88,376
170468,64,181,79,376
170473,63,159,112,376
170631,64,155,87,375
170651,63,155,132,375
171419,63,165,108,371
171566,64,159,90,370
171612,63,162,110,370
171975,63,170,78,368
172167,63,158,87,367
172361,63,161,114,366
172538,64,160,89,365
173089,64,176,81,362
173143,64,188,76,362
173147,61,157,81,362
173268,63,161,111,361
173448,63,166,83,360
174260,63,170,81,356
174289,64,155,122,356
174300,64,156,121,356
174678,63,164,109,354
175263,64,156,106,351
175473,64,154,119,350
175689,61,154,101,349
175843,64,155,107,348
175844,63,156,85,348
176673,59,154,78,344
176739,64,153,158,344
176741,64,196,78,344
176742,62,165,102,344
177502,64,157,86,340
177565,63,153,128,340
177570,63,164,112,340
178174,63,162,126,337
178178,62,153,110,337
178314,64,174,95,336
178328,63,174,76,336
178606,62,156,108,335
