,h,s,v,num
61356,108,35,125,2106
86773,110,37,125,1330
96265,141,33,125,1134
96484,161,33,125,1130
102323,108,35,124,1025
102863,133,33,125,1016
105957,133,33,54,967
108096,113,33,125,934
109525,143,35,125,912
109532,108,35,123,912
111234,133,34,53,888
112229,114,43,30,874
112322,114,44,29,873
113742,144,39,125,854
113808,162,35,125,854
114287,114,46,28,847
116880,132,37,125,814
116884,114,41,31,814
117130,108,36,122,811
117659,139,35,125,804
118459,160,37,125,794
119141,159,33,125,786
120604,136,35,125,768
120605,142,37,125,768
121646,114,40,32,756
122823,138,53,125,742
122929,114,39,33,741
123465,133,34,52,735
123711,108,36,121,732
123923,114,38,34,730
125278,164,41,125,716
125279,151,45,125,716
125443,156,33,125,714
129564,114,36,35,671
130504,147,59,125,662
131534,108,36,120,651
131738,143,49,125,650
132057,125,35,125,646
132720,162,41,125,640
132889,147,39,125,638
133337,145,35,125,634
133682,114,34,37,631
133705,133,35,51,631
133769,116,35,125,630
133770,110,37,124,630
134058,169,35,125,628
135855,152,35,125,612
136019,114,35,36,610
136085,157,37,125,610
136784,166,35,125,604
137349,114,33,39,599
137913,141,35,51,595
139718,161,33,124,579
139832,114,34,38,578
140293,141,53,125,574
140377,148,37,125,574
141115,154,47,125,568
141831,131,43,125,562
142357,110,37,123,558
142430,150,39,125,558
142676,159,43,125,556
142713,140,41,125,556
143658,109,55,37,548
143660,126,39,33,548
143911,141,34,53,547
143914,127,35,125,546
144282,153,43,125,544
144351,141,36,50,543
144532,164,45,125,542
144719,108,37,118,540
144816,145,45,125,540
144885,126,36,35,539
145393,149,47,125,536
145511,126,34,38,534
145902,146,59,125,532
146073,141,33,124,530
146178,137,51,125,530
146221,126,38,34,529
146333,141,43,125,528
146482,141,33,123,527
147143,108,36,119,522
147291,126,35,36,521
148506,140,47,125,512
148942,142,55,125,510
149079,161,33,123,508
149887,130,47,125,502
150453,109,43,125,498
150767,109,54,38,496
151174,126,33,39,493
151851,141,34,52,489
152365,108,37,117,485
152480,141,33,54,484
152481,141,36,49,484
153717,134,39,125,476
154341,122,33,125,472
154521,161,33,122,471
154530,109,52,39,471
154648,125,39,125,470
155110,126,40,32,467
156167,167,41,125,460
156415,109,57,36,458
156613,126,34,37,457
157172,153,37,125,454
157393,143,35,124,452
157895,141,33,122,449
158013,128,41,125,448
158022,108,39,111,448
158026,109,58,35,448
158192,150,49,125,448
158466,149,41,125,446
158636,143,36,122,444
158971,108,38,114,442
159320,108,37,116,440
159335,133,49,125,440
159967,108,39,112,436
160141,133,33,124,435
160404,145,57,125,434
160614,110,38,122,432
160783,141,34,121,431
160817,161,34,121,431
161255,108,38,115,428
161439,143,35,123,427
161594,138,41,125,426
162249,115,37,125,422
162548,133,36,50,420
162628,164,49,125,420
162747,144,39,124,419
162750,125,33,102,419
163198,108,38,113,416
163309,144,51,125,416
163615,155,51,125,414
163692,109,59,125,414
163938,156,43,125,412
164475,109,51,40,408
164697,109,49,42,407
164919,162,35,124,406
166063,113,33,124,399
166654,153,49,125,396
166764,133,33,123,395
166990,162,45,125,394
167288,110,53,125,392
167637,161,34,120,390
167648,111,41,125,390
167897,144,39,123,389
168790,133,43,125,384
169015,109,50,41,383
169740,149,55,125,380
170289,143,36,121,376
170297,109,49,125,376
170500,108,39,110,375
170691,141,37,48,374
170769,160,37,124,374
171028,139,35,124,372
171029,141,34,120,372
171654,126,44,29,369
171774,142,38,122,369
171822,145,37,117,368
171824,122,37,125,368
171933,151,53,125,368
172019,125,33,101,367
172181,108,40,109,366
172539,142,37,123,365
172752,142,38,121,364
172808,110,38,121,363
172962,145,36,121,362
173279,143,36,119,360
173285,108,40,108,360
173816,144,59,125,358
174013,164,42,122,357
174093,139,35,123,356
174207,157,47,125,356
174344,133,33,122,355
174501,143,36,120,354
174509,109,46,44,354
174826,164,41,124,353
174895,142,37,124,352
174896,145,36,119,352
175115,148,53,125,352
175320,161,35,118,350
175321,139,36,122,350
175331,126,41,31,350
175521,144,40,122,349
175696,159,33,124,348
176124,145,35,123,346
176348,109,47,43,345
176516,113,33,123,344
176532,124,43,125,344
177331,142,38,120,340
177332,143,37,118,340
177340,109,45,45,340
177579,144,40,121,339
177685,166,33,117,339
177686,159,33,123,339
177776,145,48,118,339
178113,164,42,121,337
178114,148,37,123,337
178202,111,55,125,336
178276,154,51,125,336
178277,161,34,119,336
178428,136,35,124,335
178842,141,34,119,333
179044,127,45,125,332
179066,112,51,125,332
179117,161,35,117,332
179926,145,37,116,328
180143,166,33,116,327
180153,109,44,46,327
180354,125,34,98,326
180461,162,35,123,326
180760,145,37,118,324
180761,147,39,124,324
180764,118,39,125,324
181047,142,39,119,323
181146,160,37,123,323
181674,110,38,120,320
181680,133,36,49,320
182361,125,35,124,317
182536,126,43,30,316
182794,112,34,114,315
182888,162,41,124,315
182998,125,33,100,314
183425,126,46,28,312
183709,112,35,109,311
183909,139,36,121,310
183985,170,43,125,310
184027,148,37,124,310
184184,166,33,115,309
184189,108,41,107,309
184415,141,38,47,308
184522,159,34,121,308
184667,145,36,120,307
184952,164,43,120,306
185132,132,37,124,305
185229,162,36,122,305
185317,138,53,124,304
185323,125,34,97,304
185443,161,35,116,304
185785,136,36,122,302
185786,139,36,120,302
186158,148,38,121,301
186243,138,47,125,300
186523,108,41,106,299
186623,148,38,122,299
186650,145,35,124,299
186717,144,40,120,298
186721,125,33,99,298
186829,151,45,124,298
186979,142,39,118,297
187202,111,47,125,296
187203,116,41,125,296
187360,159,33,122,296
187567,167,43,119,295
187955,116,33,117,293
187956,108,42,103,293
187961,115,38,40,293
188167,148,38,120,292
188267,166,35,124,292
188429,143,37,117,291
188657,145,47,119,290
188663,112,35,110,290
188785,166,36,119,290
188846,141,35,117,290
188944,141,35,118,289
188949,112,34,113,289
189138,127,36,122,288
189139,131,44,123,288
189140,136,33,117,288
189201,156,33,124,288
189343,141,45,120,288
189441,112,33,117,287
189542,157,37,124,287
189661,139,37,118,286
189684,125,39,112,286
190156,136,36,121,284
190555,164,41,123,283
190557,164,46,123,283
190657,133,34,121,282
190781,159,47,125,282
190948,136,35,123,281
190956,112,33,115,281
191062,160,38,122,281
191156,108,42,104,280
191272,150,39,124,280
191426,128,34,113,279
191427,139,36,119,279
191428,145,36,122,279
191464,110,45,103,279
191665,170,33,117,278
191674,131,44,122,278
191796,169,35,124,278
191952,147,40,122,277
191960,108,43,102,277
192038,162,36,120,277
192151,161,35,115,276
192164,112,35,108,276
192166,115,39,39,276
192269,109,43,47,276
192668,145,58,123,275
192682,127,35,123,274
192683,127,35,124,274
192684,131,43,124,274
192685,144,55,115,274
192692,112,45,125,274
192706,125,47,125,274
192826,115,55,28,274
193012,125,39,111,273
193087,166,36,120,273
193231,147,39,123,272
193263,112,53,125,272
193352,111,58,44,272
193524,133,34,120,271
193525,140,41,124,271
193532,110,39,119,271
193627,111,59,43,271
193628,162,37,118,271
193636,154,48,123,271
193850,156,57,125,270
194010,141,57,125,270
194051,133,35,103,269
194052,133,33,108,269
194053,125,35,123,269
194054,125,36,119,269
194055,145,38,115,269
194152,162,36,119,269
194203,141,44,123,269
194277,123,43,125,268
194375,164,45,124,268
194545,146,45,125,268
194750,144,41,119,267
194802,128,34,114,266
194803,136,36,120,266
194819,133,35,102,266
194917,154,47,124,266
195114,125,36,122,265
195115,133,33,109,265
195124,108,41,105,265
195242,164,43,119,265
195243,153,43,124,265
195356,132,38,121,264
195831,167,43,120,263
195832,159,34,120,263
195833,156,33,122,263
195936,166,37,117,262
196236,133,34,105,261
196244,116,33,116,261
196245,112,34,112,261
196246,112,34,111,261
196460,145,48,117,261
196461,145,59,122,261
196481,134,41,118,260
196492,115,36,42,260
196776,152,35,103,259
196777,170,33,116,259
196903,145,45,124,259
196904,156,33,123,259
196951,141,35,116,259
196997,116,35,124,258
197104,115,51,30,258
197105,166,35,123,258
197109,164,46,122,258
197110,162,41,123,258
197181,135,49,125,258
197343,125,36,120,257
197374,109,34,60,257
197599,148,36,106,256
197600,113,33,122,256
197609,116,35,123,256
197610,116,33,115,256
197618,136,45,125,256
197716,150,40,121,256
197754,147,53,125,256
197780,136,38,115,256
197885,136,33,116,255
197903,133,36,99,255
198005,169,35,123,255
198132,132,38,122,254
198399,144,52,123,254
198455,148,40,116,253
198459,112,33,116,253
198466,109,42,49,253
198467,109,40,51,253
198468,115,37,41,253
198475,133,35,101,253
198678,127,36,121,252
198679,147,40,120,252
198687,112,36,107,252
198706,125,38,114,252
198761,166,36,121,252
198966,142,56,124,252
199020,136,37,118,251
199021,142,39,117,251
199239,143,49,124,251
199257,166,34,114,250
199258,128,33,117,250
199259,144,41,118,250
199260,148,39,119,250
199261,148,39,117,250
199262,146,48,118,250
199263,144,56,114,250
199575,125,36,121,249
199576,134,41,119,249
199577,138,54,123,249
199685,162,36,121,249
199686,164,43,118,249
199687,166,36,122,249
199801,142,56,123,249
199824,136,37,117,248
199825,145,50,113,248
199951,154,48,121,248
199952,150,40,122,248
200123,136,33,115,247
200124,139,37,117,247
200137,109,41,50,247
200227,167,43,118,247
200361,131,45,120,246
200371,122,34,121,246
200372,116,36,122,246
200642,142,56,122,246
200701,136,36,119,245
200702,141,44,121,245
200703,148,39,118,245
200707,125,35,96,245
200821,167,42,121,245
200944,133,35,116,244
200945,136,37,116,244
200946,134,40,120,244
200953,125,38,113,244
200957,109,43,48,244
200958,115,36,43,244
201064,154,48,122,244
201101,151,59,125,244
201216,140,47,124,244
201269,131,44,121,243
201281,109,36,56,243
201504,152,34,105,242
201649,164,46,121,242
201824,170,33,115,241
201831,113,34,121,241
201832,133,34,119,241
201942,167,42,122,241
201943,150,39,123,241
202076,127,36,120,240
202077,133,44,121,240
202078,141,53,124,240
202186,159,43,124,240
202219,146,47,120,240
202278,141,44,122,240
202403,142,40,116,239
202404,146,47,119,239
202423,130,47,124,239
202440,115,46,33,239
202513,160,38,121,239
202624,145,59,121,239
202649,170,34,113,238
202650,170,35,110,238
202656,124,33,109,238
202686,114,49,125,238
202777,167,43,125,238
202778,166,37,116,238
202779,152,35,123,238
202970,148,33,116,237
203387,162,37,117,236
203388,159,34,119,236
203593,157,33,102,235
203594,128,34,112,235
203595,132,37,123,235
203596,170,34,112,235
203607,115,41,37,235
203841,133,33,107,234
203842,134,40,121,234
203854,115,40,38,234
204050,140,48,123,234
204203,133,44,123,233
204435,144,53,121,233
204462,133,35,117,232
204463,133,34,104,232
204464,128,33,116,232
204465,152,34,104,232
204486,115,48,32,232
204512,109,38,54,232
204648,146,46,121,232
204818,145,38,114,231
204819,141,43,124,231
204832,109,38,53,231
205103,148,35,108,230
205104,138,41,124,230
205105,144,54,119,230
205114,116,36,120,230
205277,155,52,122,230
205490,148,36,107,229
205491,133,44,122,229
205502,110,44,104,229
205608,162,42,122,229
205727,144,53,120,229
205787,116,45,125,228
206139,133,34,106,227
206140,127,36,119,227
206141,143,38,113,227
206142,141,54,123,227
206145,125,38,115,227
206423,128,33,115,226
206424,147,40,121,226
206432,116,36,121,226
206437,109,35,59,226
206440,109,33,62,226
206441,133,37,48,226
206442,115,45,34,226
206545,156,34,121,226
206754,136,38,114,225
206755,143,50,123,225
206760,124,34,105,225
206761,116,33,109,225
206871,115,53,29,225
206874,167,41,124,225
206882,166,37,118,225
206883,159,44,123,225
207051,140,57,125,224
207052,143,42,104,224
207053,142,40,115,224
207060,113,34,120,224
207073,133,40,102,224
207085,109,39,52,224
207190,153,44,122,224
207191,162,42,121,224
207200,170,47,125,224
207453,128,42,121,223
207466,110,46,100,223
207545,157,37,123,223
207583,145,46,123,223
207706,136,34,114,222
207711,124,34,106,222
207819,164,44,117,222
207820,160,38,120,222
207821,153,44,121,222
207857,153,57,125,222
208086,150,40,120,221
208087,145,47,120,221
208088,152,33,107,221
208102,133,35,118,221
208139,110,45,101,221
208247,151,46,123,221
208397,170,34,111,220
208403,128,42,122,220
208785,143,56,110,219
208788,128,41,124,219
208871,169,36,120,219
209091,161,36,114,218
209092,152,35,102,218
209102,120,47,43,218
209109,141,35,115,218
209220,169,36,122,218
209471,141,45,119,217
209472,148,34,113,217
209473,146,50,112,217
209490,133,40,101,217
209592,153,44,123,217
209730,143,37,116,216
209737,125,37,116,216
209741,109,36,57,216
209749,133,37,97,216
209750,133,36,100,216
209867,152,35,124,216
210058,127,47,125,216
210088,136,34,113,215
210089,152,34,106,215
210108,133,36,98,215
210109,115,49,31,215
210196,169,36,121,215
210202,167,44,117,215
210203,152,36,120,215
210325,144,52,122,215
210360,128,35,110,214
210361,125,39,124,214
210362,143,54,113,214
210363,148,40,115,214
210375,132,36,35,214
210497,152,36,122,214
210533,148,34,114,214
210729,109,43,124,213
210989,130,49,125,212
210990,134,39,123,212
210991,134,41,117,212
210992,138,41,123,212
211104,156,43,124,212
211338,144,33,108,211
211339,148,33,117,211
211340,148,35,110,211
211345,116,33,108,211
211346,125,37,118,211
