,h,s,v,num
1697,63,17,153,26348
1829,63,17,154,25901
1907,60,20,152,25680
2024,63,17,152,25302
2026,63,16,155,25299
2056,60,20,153,25209
2122,63,16,160,24993
2153,60,20,156,24916
2155,63,16,158,24911
2157,63,16,159,24908
2167,63,16,156,24897
2175,60,20,151,24881
2216,60,21,149,24759
2218,60,19,157,24751
2224,63,16,161,24726
2248,63,16,162,24663
2257,60,20,150,24641
2258,63,15,167,24637
2261,60,20,154,24632
2295,63,16,157,24558
2314,60,19,158,24498
2338,63,15,166,24442
2369,62,22,160,24367
2380,62,22,159,24343
2390,60,20,155,24315
2423,60,19,159,24186
2430,62,23,156,24169
2434,60,19,161,24164
2437,63,16,163,24155
2443,60,19,160,24147
2476,62,23,157,24074
2490,62,23,158,24027
2551,63,16,164,23890
2559,62,22,161,23868
2561,60,21,147,23856
2563,60,19,162,23846
2599,62,22,162,23756
2602,60,21,148,23752
2610,60,21,146,23732
2674,60,19,163,23588
2678,63,17,151,23580
2689,63,15,168,23561
2698,63,15,165,23538
2709,62,23,154,23516
2731,57,18,153,23429
2742,57,18,152,23380
2747,62,23,155,23366
2753,62,24,147,23336
2759,62,22,163,23325
2773,62,23,153,23306
2797,62,23,152,23241
2816,62,22,164,23188
2826,62,24,148,23169
2846,62,24,149,23121
2861,60,21,145,23082
2880,62,24,150,23019
2903,57,19,151,22973
2951,62,24,146,22851
2959,62,22,165,22835
2982,62,24,151,22776
2994,60,19,164,22742
3037,57,18,154,22648
3051,63,17,150,22597
3090,63,15,169,22499
3104,60,21,144,22458
3176,57,19,148,22280
3221,57,18,155,22165
3278,60,19,165,22049
3312,57,19,150,21979
3326,62,25,145,21948
3352,62,22,166,21873
3358,63,15,170,21852
3378,63,17,149,21803
3406,57,19,149,21756
3412,62,25,143,21744
3421,57,19,147,21719
3442,57,18,160,21676
3482,57,17,161,21616
3486,60,21,143,21610
3488,57,17,162,21606
3494,63,17,148,21595
3538,57,18,156,21490
3545,60,18,167,21482
3546,62,25,144,21479
3560,57,19,146,21456
3568,63,17,147,21435
3570,62,25,142,21432
3588,60,22,142,21393
3613,57,18,159,21336
3680,60,18,166,21177
3685,62,21,168,21159
3701,62,21,167,21129
3704,63,17,146,21115
3753,63,15,171,21025
3769,57,17,163,20996
3770,57,18,157,20994
3785,60,22,141,20969
3798,57,19,145,20955
3885,57,18,158,20790
3894,62,26,140,20774
3902,63,18,145,20757
3907,62,26,139,20745
3945,62,25,141,20656
3963,57,17,168,20613
3966,62,21,169,20603
4004,63,15,172,20543
4020,57,17,167,20514
4101,63,15,174,20350
4105,60,22,139,20346
4128,60,22,140,20311
4182,60,18,168,20205
4241,63,15,175,20090
4243,60,18,169,20087
4251,63,15,173,20075
4297,62,26,138,19987
4299,57,19,144,19986
4319,60,22,138,19960
4332,57,17,166,19934
4345,57,17,164,19909
4417,63,18,144,19762
4422,57,17,169,19745
4428,57,17,165,19735
4448,60,18,170,19700
4622,62,21,170,19377
4705,57,20,141,19240
4706,57,17,170,19239
4748,62,26,137,19157
4762,57,20,142,19125
4783,60,18,171,19103
4789,57,20,143,19095
4918,62,21,171,18824
4934,57,20,140,18794
4985,60,18,172,18673
5096,57,20,139,18469
5121,63,18,142,18427
5123,63,18,143,18426
5125,60,22,137,18424
5198,52,18,156,18326
5325,60,18,173,18126
5332,62,26,136,18120
5350,52,18,155,18088
5399,57,16,172,18018
5402,57,16,171,18009
5459,52,18,154,17918
5465,62,21,172,17909
5478,63,18,141,17888
5482,52,18,152,17884
5502,57,20,138,17851
5528,60,18,174,17802
5552,52,18,158,17777
5578,60,23,136,17720
5590,52,19,151,17707
5599,62,21,173,17691
5610,63,18,140,17675
5625,52,18,153,17652
5651,52,18,157,17605
5710,48,16,156,17505
5727,52,18,159,17469
5736,62,26,135,17458
5750,63,18,139,17439
5792,52,19,150,17381
5793,52,18,160,17381
5816,57,16,173,17347
5847,52,17,168,17293
5849,52,17,162,17291
5877,48,16,157,17243
5884,52,17,161,17231
5893,52,19,149,17214
5898,62,21,174,17203
5951,48,16,155,17119
6031,52,17,167,16988
6059,60,23,135,16951
6069,60,17,175,16936
6070,48,16,158,16935
6075,52,17,163,16929
6076,40,15,157,16927
6113,40,15,156,16880
6115,52,17,169,16878
6139,52,17,164,16844
6167,58,26,149,16782
6192,48,17,154,16745
6201,52,19,148,16736
6223,62,20,175,16698
6224,57,20,137,16697
6231,57,16,174,16688
6236,56,15,140,16680
6245,52,17,166,16667
6246,63,18,138,16666
6255,60,17,176,16653
6264,58,26,148,16634
6265,48,16,159,16630
6267,40,15,155,16625
6271,52,17,165,16607
6280,57,16,175,16593
6304,40,15,158,16565
6330,48,17,153,16528
6367,52,19,147,16474
6387,62,27,134,16443
6388,40,15,154,16443
6408,40,15,149,16408
6453,52,19,146,16337
6508,48,16,161,16263
6511,40,15,153,16254
6530,60,17,177,16226
6532,48,16,162,16223
6549,48,16,160,16189
6555,48,16,163,16180
6567,52,19,145,16159
6593,58,26,147,16122
6594,52,17,170,16121
6602,58,24,157,16113
6610,48,17,152,16105
6614,58,25,150,16095
6649,40,15,151,16056
6669,56,15,139,16020
