,h,s,v,num
149107,0,255,23,508
149342,24,55,23,506
149415,69,170,24,506
149621,11,227,9,504
150564,65,122,25,498
151113,69,166,20,494
151478,24,71,18,491
151879,42,75,17,488
152056,5,255,11,487
152289,67,144,23,486
152779,24,61,21,482
152780,24,64,20,482
153201,67,138,24,480
153396,24,67,19,478
153489,72,188,23,478
153573,24,80,16,477
153628,35,70,22,477
153743,60,74,24,476
153834,72,197,22,476
154544,60,69,26,471
155245,24,49,26,466
155482,60,78,23,465
155644,72,213,24,464
155848,55,153,10,462
155901,42,106,12,462
156197,72,206,21,460
156258,24,53,24,459
156795,68,156,18,456
157085,42,85,15,454
157451,42,80,16,452
157793,69,177,23,450
157903,42,128,10,449
157950,42,98,13,449
158403,6,128,10,446
158706,71,194,21,444
158717,66,142,18,444
159494,24,51,25,439
159687,35,81,19,438
159822,19,227,9,437
160206,55,77,20,435
160312,35,67,23,434
160543,56,227,9,433
160975,35,77,20,430
161708,72,222,23,426
162432,42,91,14,421
162957,62,255,18,418
163200,13,162,11,416
163257,66,213,12,416
163397,35,96,16,415
163546,35,64,24,414
163876,35,61,25,412
164577,60,85,21,408
164748,60,81,22,407
165431,34,120,17,403
165601,66,150,17,402
166066,60,179,10,399
166234,35,85,18,398
166622,55,90,17,396
167655,55,81,19,390
167667,25,96,16,390
167903,35,102,15,389
168407,60,89,20,386
168473,55,85,18,386
168641,25,139,11,385
169009,10,255,9,383
169270,70,200,23,382
169661,69,206,26,380
169985,66,255,21,378
170189,35,90,17,377
170504,13,128,14,375
170640,63,255,19,375
170971,55,139,11,373
171095,35,170,9,372
171533,66,170,15,370
171945,66,182,14,368
172083,35,59,26,367
172652,25,81,19,364
172717,69,174,19,364
172876,55,118,13,363
172967,19,204,10,362
173298,25,170,9,360
173420,65,128,24,360
174062,60,255,26,357
174154,63,255,20,356
174397,35,109,14,355
174907,20,255,9,352
175330,3,255,12,350
175535,13,99,18,349
175536,13,149,12,349
176020,25,70,22,347
176021,55,102,15,347
177224,43,74,24,341
177345,11,255,11,340
177429,71,255,20,340
177436,68,165,17,340
177466,69,214,25,340
177592,25,109,14,339
177655,43,71,25,339
177795,13,112,16,338
177929,67,151,22,338
178186,13,137,13,336
178187,13,74,24,336
178188,25,90,17,336
178290,63,102,25,336
178352,65,133,23,336
178500,43,81,22,335
178624,25,153,10,334
178683,35,118,13,334
178747,71,204,20,334
179109,43,78,23,332
179123,67,255,21,332
179733,13,78,23,329
179932,43,198,9,328
179993,55,128,12,328
180010,34,113,18,328
180210,56,82,25,327
180236,34,128,16,327
180392,63,98,26,326
180401,72,255,20,326
180611,13,85,21,325
180653,51,71,25,325
180659,55,109,14,325
180660,51,74,24,325
180674,55,96,16,325
180768,25,128,12,324
181120,25,77,20,323
181253,35,153,10,322
181477,13,119,15,321
181972,43,85,21,319
182116,25,67,23,318
182421,35,140,20,317
182535,25,118,13,316
182589,35,139,11,316
182662,56,89,23,316
182668,69,184,18,316
182823,56,85,24,315
183115,67,177,26,314
183153,67,158,21,314
183478,35,128,12,312
183546,66,196,13,312
183716,25,85,18,311
183989,54,255,10,310
184014,56,78,26,310
184678,13,94,19,307
184869,13,105,17,306
185882,51,69,26,302
185896,69,185,22,302
185907,68,175,16,302
185918,72,216,26,302
186063,13,81,22,301
186400,65,139,22,300
186525,25,102,15,299
186998,25,64,24,297
187051,60,99,18,297
187273,51,198,9,296
187281,69,255,21,296
187347,65,255,20,296
187481,13,69,26,295
187482,13,89,20,295
187537,50,255,9,295
187674,25,59,26,294
187675,25,73,21,294
187676,13,71,25,294
188052,60,94,19,293
188825,69,195,17,290
189307,70,209,22,288
189515,43,179,10,287
189531,35,151,22,287
189909,69,223,24,286
190230,19,157,13,284
190314,66,159,16,284
190660,8,255,11,282
190682,43,69,26,282
190774,65,146,21,282
190959,19,113,18,281
190960,43,137,13,281
191247,35,148,19,280
191926,72,217,20,278
193599,56,93,22,271
193617,43,89,20,271
193759,25,61,25,270
193837,35,144,23,270
194123,51,81,22,269
194920,69,194,21,266
194961,67,166,20,266
195369,6,116,11,264
195477,43,149,12,264
195783,60,162,11,263
196014,19,170,12,262
196054,69,226,26,262
196351,43,112,16,261
196508,0,255,26,260
196580,43,162,11,260
196844,60,137,13,259
197107,56,120,17,258
197217,63,106,24,258
197417,51,78,23,257
197983,34,107,19,255
198271,56,102,20,254
198383,65,170,18,254
198391,67,184,25,254
198464,19,120,17,253
198465,19,146,14,253
199087,60,112,16,251
199280,43,94,19,250
199613,6,71,18,249
199838,19,107,19,248
199945,68,187,15,248
200377,21,255,10,246
200378,6,67,19,246
200473,38,134,21,246
200962,19,136,15,244
201050,60,105,17,244
201280,19,185,11,243
201924,34,102,20,241
202085,6,58,22,240
202086,34,93,22,240
202481,43,119,15,239
202734,51,85,21,238
203039,60,149,12,237
203292,6,61,21,236
203364,38,140,20,236
203412,65,161,19,236
203852,5,255,12,234
203952,35,134,21,234
204475,19,102,20,232
204594,34,89,23,232
204654,67,191,24,232
204722,68,234,12,232
204831,19,97,21,231
204936,43,128,14,231
205121,43,105,17,230
205122,19,128,16,230
205254,43,99,18,230
205656,56,113,18,229
205771,19,89,23,228
205794,6,64,20,228
205949,71,215,19,228
206148,19,78,26,227
206149,6,49,26,227
206501,34,136,15,226
206572,56,97,21,226
206767,17,255,9,225
206836,6,85,15,225
206860,34,97,21,225
207065,6,75,17,224
207146,69,255,20,224
207219,72,224,25,224
207443,6,80,16,223
207444,2,255,13,223
207717,19,85,24,222
207799,38,127,22,222
208106,6,106,12,221
208190,0,153,10,221
208242,56,204,10,221
208273,63,111,23,221
208414,11,204,10,220
208415,13,230,10,220
208416,19,93,22,220
209101,6,98,13,218
209122,6,53,24,218
209227,62,255,20,218
209299,68,216,13,218
209542,60,119,15,217
209610,56,107,19,217
209774,65,255,22,216
210096,6,91,14,215
210164,60,128,14,215
210443,51,94,19,214
210518,51,105,17,214
211231,65,153,20,212
211417,51,179,10,211
211629,51,89,20,210
212049,19,82,25,209
212050,6,55,23,209
212508,65,180,17,208
212541,62,255,19,208
212617,63,255,21,208
212833,35,138,24,207
213146,68,255,22,206
213147,71,255,21,206
213530,34,82,25,205
213752,8,255,12,204
214581,51,99,18,202
214756,68,200,14,202
214906,6,51,25,201
215003,35,158,21,201
215972,2,255,14,198
216080,66,157,26,198
216131,67,174,19,198
216241,72,255,22,198
217616,34,78,26,194
217650,40,121,19,194
218385,51,119,15,192
218408,70,255,21,192
218799,40,255,9,191
219137,34,85,24,190
219241,56,146,14,190
219288,69,215,19,190
219331,69,221,15,190
219874,51,149,12,188
220040,69,207,16,188
220914,56,157,13,186
220915,71,227,18,186
221484,51,128,14,184
221516,30,120,17,184
221521,38,148,19,184
221605,67,184,18,184
222358,66,177,23,182
222717,40,100,23,181
223051,30,185,11,180
223066,70,255,22,180
223567,30,82,25,179
223568,30,89,23,179
223595,34,157,13,179
223617,63,116,22,179
223645,51,162,11,179
223955,51,137,13,178
224010,67,195,17,178
224292,15,255,10,177
224417,56,128,16,177
224751,67,255,22,176
224777,30,170,12,176
225614,66,170,24,174
225677,69,204,20,174
225898,67,200,23,174
226028,40,115,20,173
226551,63,150,17,172
226773,65,204,15,172
226826,67,255,23,172
227005,30,78,26,171
227039,35,127,22,171
227470,51,112,16,170
227506,66,185,22,170
228269,30,107,19,168
228308,30,128,16,168
228358,72,232,22,168
228361,65,235,13,168
228408,63,232,11,168
229186,35,122,23,166
229637,21,150,17,165
229977,13,255,12,164
230045,30,146,14,164
230047,30,93,22,164
230075,38,122,23,164
230158,69,237,14,164
230318,65,219,14,164
230451,30,97,21,163
230477,40,96,24,163
230934,30,113,18,162
230970,34,170,12,162
231441,21,106,24,161
231463,48,255,10,161
231539,30,102,20,161
231540,35,156,18,161
231898,40,104,22,160
231899,30,204,10,160
231911,69,255,23,160
231941,30,227,9,160
232052,57,112,25,160
232188,70,230,20,160
232906,21,182,14,158
232997,63,134,19,158
233380,13,209,11,157
233485,48,98,26,157
233806,21,98,26,156
233869,65,191,16,156
233926,35,133,25,156
233927,38,117,24,156
234397,21,232,11,155
234499,35,117,24,155
234504,45,122,25,155
234930,34,204,10,154
235376,13,115,20,153
235453,30,85,24,153
235495,34,143,25,153
235808,13,143,16,152
235988,67,207,16,152
236324,21,196,13,151
236477,57,108,26,151
236862,40,128,18,150
236893,66,163,25,150
237377,11,185,11,149
237382,56,185,11,149
237483,52,108,26,149
237785,21,213,12,148
238181,69,227,18,148
238228,72,234,24,148
238315,13,92,25,147
238449,63,142,18,147
238592,57,117,24,147
238891,40,135,17,146
238999,56,136,15,146
239115,67,237,14,146
239247,69,235,25,146
239338,13,109,21,145
239345,30,157,13,145
239465,40,164,14,145
239743,21,121,21,144
239802,40,88,26,144
239870,43,137,26,144
239937,56,170,12,144
240395,40,92,25,143
240474,34,227,9,143
240503,63,128,20,143
240819,21,102,25,142
240882,30,136,15,142
241457,12,255,10,141
241510,34,185,11,141
241792,64,255,21,141
242003,21,170,15,140
242362,70,219,21,140
242477,13,135,17,139
242478,5,255,13,139
242556,21,116,22,139
242643,63,121,21,139
243078,34,146,14,138
243085,52,112,25,138
243086,48,111,23,138
243344,70,242,19,138
243606,13,100,23,137
243712,21,159,16,137
244043,13,153,15,136
244044,21,134,19,136
244744,40,109,21,135
245236,40,143,16,134
245544,71,240,17,134
245642,67,221,15,134
245784,13,121,19,133
245785,21,111,23,133
245879,21,142,18,133
245890,40,230,10,133
246250,13,128,18,132
246345,52,255,11,132
246372,35,166,20,132
246793,72,228,19,132
246926,13,191,12,131
247033,48,106,24,131
247549,34,137,26,130
247553,45,128,24,130
247878,70,255,23,130
247976,72,255,23,130
248204,35,112,25,129
248629,11,170,12,128
248852,69,233,23,128
249302,21,128,20,127
249456,52,117,24,127
249838,13,96,24,126
249979,40,177,13,126
250016,40,191,12,126
250124,70,235,26,126
251041,13,88,26,124
251042,11,78,26,124
251043,13,177,13,124
251591,65,255,23,124
251752,11,146,14,123
251883,38,112,25,123
252344,13,164,14,122
252464,48,102,25,122
252484,40,209,11,122
252560,66,194,21,122
253908,40,153,15,120
254348,30,98,26,119
254408,2,255,15,119
254465,35,108,26,119
254470,45,118,26,119
255234,63,255,22,118
255484,72,243,21,118
256349,48,232,11,116
257233,63,255,23,115
257777,63,159,16,114
258893,13,104,22,112
258894,16,255,11,112
259011,45,133,23,112
259012,48,134,19,112
260308,16,127,22,110
260430,39,137,26,110
260464,67,226,26,110
260465,66,206,26,110
260729,62,137,26,110
260904,65,255,24,110
260974,69,244,24,110
261202,35,127,26,109
262107,72,244,23,108
262143,71,255,22,108
262160,69,240,17,108
262242,67,209,22,108
262839,63,170,15,107
263128,11,82,25,106
263701,67,219,21,106
264041,48,116,22,105
