,h,s,v,num
255,68,18,158,36784
263,68,18,159,36713
289,69,21,161,36166
304,69,22,154,35838
310,68,18,152,35755
324,69,20,162,35448
328,69,22,153,35425
340,69,21,155,35278
353,68,17,165,35087
359,69,21,160,35043
362,66,17,154,35005
364,68,18,156,34989
365,68,18,157,34983
377,68,19,151,34804
379,66,16,155,34793
385,68,18,160,34740
386,68,18,153,34710
387,66,17,153,34703
391,68,18,155,34659
397,71,26,155,34629
424,71,26,156,34271
440,69,21,156,34104
447,68,18,154,34065
452,68,17,166,34000
472,66,16,159,33813
475,66,16,160,33788
485,71,26,157,33666
489,66,16,158,33649
510,68,17,161,33484
513,69,20,163,33446
515,71,27,151,33421
516,69,21,159,33418
522,71,25,162,33308
529,71,27,152,33280
532,66,16,156,33261
540,66,16,157,33129
553,68,17,164,33049
573,71,25,163,32830
578,71,26,154,32774
581,69,22,152,32722
582,68,17,162,32718
588,66,17,152,32665
597,68,17,163,32594
598,71,25,161,32591
615,71,26,158,32397
619,66,16,161,32357
628,69,20,168,32308
629,69,21,157,32306
635,69,21,158,32255
651,68,19,150,32136
660,71,27,153,32081
676,69,20,167,31897
679,71,26,159,31869
696,71,25,164,31767
713,69,20,164,31603
764,66,17,151,31244
769,68,17,167,31207
788,71,25,165,31039
812,66,16,162,30878
821,71,27,150,30829
828,69,22,151,30768
851,68,19,149,30642
852,69,20,169,30637
865,69,22,148,30557
870,69,22,150,30532
877,71,26,160,30503
882,69,20,166,30480
895,72,28,155,30379
899,71,25,166,30372
902,69,23,147,30359
913,69,20,165,30327
938,71,24,168,30187
956,72,29,148,30031
957,69,22,149,30031
959,72,28,156,29999
964,66,15,168,29944
970,66,16,163,29899
972,66,15,165,29869
978,66,15,167,29843
979,72,28,157,29842
983,71,24,169,29824
1011,72,29,149,29665
1017,72,29,147,29632
1018,66,15,166,29631
1026,68,19,148,29604
1028,71,28,148,29585
1032,68,17,168,29580
1046,66,15,169,29449
1057,72,29,151,29351
1060,72,27,158,29345
1062,72,26,164,29341
1067,71,27,149,29311
1085,72,29,150,29216
1089,71,24,167,29186
1109,66,17,150,29045
1120,66,16,164,28997
1122,72,27,163,28990
1124,71,28,147,28976
1127,72,28,154,28972
1130,72,29,152,28956
1146,69,20,170,28897
1149,69,23,146,28865
1156,72,27,162,28801
1171,65,20,153,28727
1176,65,19,159,28698
1188,68,19,147,28627
1198,72,27,159,28586
1201,68,17,169,28579
1202,67,21,159,28570
1204,67,22,152,28568
1216,65,19,160,28520
1222,72,27,161,28500
1224,67,22,153,28478
1233,67,21,160,28447
1237,65,20,152,28423
1241,71,24,170,28413
1256,67,21,161,28297
1262,72,26,165,28271
1271,66,15,170,28225
1291,71,28,146,28140
1292,68,19,145,28132
1300,72,27,160,28104
1307,66,17,149,28076
1309,72,30,146,28070
1321,68,19,146,28028
1322,66,17,148,28023
1324,66,17,147,28015
1328,65,20,154,27985
1345,72,26,169,27875
1354,67,20,162,27831
1362,72,26,170,27796
1367,65,19,161,27758
1370,65,19,163,27726
1372,72,28,153,27722
1373,65,19,158,27700
1377,68,19,144,27685
1380,68,17,170,27676
1384,72,26,166,27668
1393,67,22,154,27623
1400,68,16,172,27582
1402,69,26,154,27574
1414,69,26,155,27497
1422,65,20,155,27459
1438,65,20,156,27399
1450,68,16,173,27363
1453,67,21,155,27331
1457,69,19,171,27307
1458,68,16,171,27302
1463,66,15,174,27292
1468,71,28,144,27263
1477,67,21,156,27229
1479,65,19,162,27218
1490,66,15,175,27193
1492,72,30,144,27190
1503,69,27,153,27134
1510,67,20,163,27106
1517,72,30,143,27066
1530,65,19,157,27003
1542,65,19,164,26958
1555,65,18,166,26909
1559,66,17,146,26884
1561,65,20,151,26880
1563,71,29,142,26870
1566,71,29,143,26866
1568,65,19,165,26865
1569,71,24,171,26863
1571,67,21,158,26854
1572,66,15,171,26844
1576,69,27,149,26823
1583,71,29,141,26810
1585,72,26,168,26807
1606,69,26,156,26709
1623,65,18,167,26660
1625,69,23,145,26657
1641,66,15,173,26599
1653,71,28,145,26561
1659,72,25,171,26544
1667,72,26,167,26518
1675,69,25,161,26490
1681,71,29,140,26455
1682,67,22,151,26441
1695,69,28,148,26354
1696,72,30,145,26351
1706,70,31,150,26329
1708,69,25,162,26320
1712,69,26,157,26296
1715,66,15,172,26289
1743,67,20,164,26205
1752,67,21,157,26176
1755,67,20,166,26168
1762,68,20,143,26133
1765,71,24,173,26127
1775,69,27,150,26078
1795,69,19,172,26001
1808,70,31,149,25943
1815,72,31,142,25926
1840,69,28,147,25857
1849,69,27,152,25831
1852,67,23,147,25830
1854,67,22,148,25826
1855,70,30,151,25809
1863,71,24,172,25790
1870,69,26,160,25772
1878,65,20,150,25740
1884,67,20,167,25725
1887,69,25,163,25719
1930,68,16,174,25597
1963,69,27,151,25496
1979,65,21,149,25424
1987,72,31,141,25394
1989,67,22,150,25382
1990,69,26,158,25380
1999,70,29,156,25362
2007,67,22,149,25342
2014,69,26,159,25324
2016,66,18,145,25316
2017,67,20,165,25315
2042,72,25,172,25242
2064,72,31,140,25183
2072,68,20,142,25142
2077,71,23,174,25132
2078,65,18,168,25132
2090,67,23,146,25068
2102,70,31,148,25047
2154,65,21,148,24914
2179,71,29,139,24873
2193,69,19,175,24836
2213,69,25,164,24772
2215,69,19,174,24765
2219,70,29,157,24747
2229,70,30,155,24717
2244,67,20,168,24668
2263,68,16,175,24631
2265,70,30,152,24630
2287,69,28,146,24578
2311,69,24,141,24513
2320,69,19,176,24484
2325,65,21,147,24470
2329,69,19,173,24460
2340,65,21,146,24441
2371,70,28,163,24358
2384,70,29,158,24332
2404,69,23,142,24265
2417,69,23,144,24204
2457,65,18,169,24107
2469,69,24,140,24085
2478,69,23,143,24064
2481,70,28,164,24054
2482,68,16,176,24051
2501,70,30,154,24004
2505,69,25,165,23996
2512,70,28,162,23982
2525,67,23,145,23953
2543,72,25,173,23910
2547,68,20,141,23901
2552,71,23,176,23889
2555,70,32,145,23883
2566,70,30,153,23840
2592,70,28,165,23774
2595,69,24,168,23766
2597,70,29,159,23765
2624,70,31,147,23690
2638,66,18,144,23669
2640,70,32,144,23667
2657,72,31,139,23629
2666,71,23,177,23607
2680,72,38,149,23574
2683,69,24,139,23570
2705,70,29,161,23527
2710,69,25,166,23515
2717,65,18,170,23490
2720,69,24,167,23471
2722,65,21,145,23459
2725,70,32,143,23450
2728,71,30,136,23435
2743,72,38,148,23379
2756,72,32,136,23330
2780,72,32,137,23283
2790,71,23,175,23259
2809,69,28,145,23201
2819,71,30,137,23181
2822,69,24,169,23175
2835,72,35,147,23150
2847,67,20,169,23121
2860,70,31,146,23088
2873,70,27,170,23039
2884,70,27,169,23009
2910,72,34,148,22940
2913,68,16,180,22933
2914,68,16,179,22933
2940,69,29,142,22875
2941,70,29,160,22874
2945,68,16,177,22862
2957,69,19,177,22840
2973,65,18,171,22793
2977,69,29,141,22779
2989,70,28,166,22753
3038,72,34,150,22647
3048,72,25,175,22606
3049,71,23,178,22602
3056,72,34,149,22574
3066,72,36,156,22540
3074,72,35,146,22528
3079,69,29,143,22514
3084,68,20,140,22506
3088,72,25,174,22500
3102,72,36,157,22462
3106,72,37,150,22451
3111,66,18,143,22434
3113,70,32,142,22430
3122,67,20,170,22411
3124,72,31,138,22411
3125,69,24,170,22400
3130,72,34,164,22380
3149,69,29,140,22349
3178,65,18,174,22278
3185,72,32,160,22256
3188,70,27,168,22251
3197,72,32,159,22223
3200,72,32,135,22208
3208,72,34,163,22195
3209,71,30,138,22187
3211,69,28,144,22181
3213,68,16,178,22180
3225,72,38,147,22157
3252,72,31,163,22107
3255,72,31,162,22103
3257,72,35,145,22099
3263,67,19,171,22086
3267,67,23,144,22081
3268,72,33,155,22077
3272,72,35,162,22063
3274,68,15,181,22060
3299,72,25,176,22006
3301,71,30,135,21998
3316,72,36,158,21975
3324,72,32,161,21954
3333,72,35,144,21919
3336,69,24,138,21913
3343,65,21,144,21891
3345,65,18,172,21889
3359,70,27,171,21852
3372,72,35,159,21816
3381,72,38,146,21790
3387,68,20,139,21784
3390,65,18,173,21773
3398,67,24,141,21766
3399,67,24,140,21764
3405,72,34,151,21759
3407,67,24,139,21754
3411,72,35,161,21746
3422,70,27,167,21718
3425,69,29,139,21711
3428,72,31,164,21706
3429,72,39,143,21701
3437,72,36,143,21684
3449,70,33,141,21667
3451,72,39,145,21663
3460,72,33,154,21646
3464,72,32,158,21640
3476,72,34,165,21623
3489,66,18,142,21605
3493,68,20,138,21597
3497,72,32,157,21589
3500,72,33,156,21586
3510,72,36,155,21556
3515,72,34,152,21547
3541,67,19,174,21486
3562,72,37,151,21453
3565,72,39,144,21444
3573,67,19,173,21428
3577,65,17,175,21423
3605,72,33,153,21358
3614,67,19,172,21336
3632,72,35,160,21287
3634,67,23,142,21285
3666,67,23,143,21207
3672,72,36,142,21191
3673,72,40,142,21190
3674,70,27,172,21187
3698,72,32,134,21141
3712,71,23,179,21104
3717,69,19,178,21098
3790,72,37,152,20962
3796,68,20,137,20956
3807,68,15,182,20934
3855,72,31,165,20841
3856,72,24,177,20840
3864,65,22,142,20821
3872,65,21,143,20802
3899,66,18,141,20766
3919,69,24,171,20718
3959,72,36,154,20624
3969,66,18,140,20600
3986,72,34,166,20576
4000,71,30,134,20550
4002,65,17,176,20546
4005,69,40,146,20542
4019,72,33,169,20518
4021,67,19,175,20511
4023,72,31,166,20510
4027,71,23,181,20505
4040,69,18,181,20489
4055,72,37,153,20457
4092,65,22,141,20375
4116,69,24,173,20326
4121,71,23,180,20322
4122,70,33,140,20321
4136,72,36,141,20292
4143,69,30,138,20276
4145,67,24,138,20271
4176,69,24,172,20211
4184,72,30,170,20199
4185,66,26,155,20189
4197,70,33,138,20162
4199,70,34,136,20160
4201,69,40,145,20154
4211,72,33,168,20142
4222,69,18,183,20129
4223,66,26,160,20126
4224,68,15,186,20120
4236,69,40,147,20096
4242,72,30,169,20088
4247,70,34,137,20084
4248,68,15,183,20083
4250,72,33,170,20075
4261,70,27,173,20044
4263,69,18,180,20041
4264,72,34,167,20041
4287,69,18,182,20002
4294,71,22,183,19996
4317,71,22,182,19962
4322,66,26,154,19957
4337,69,19,179,19925
4350,67,19,176,19893
4353,65,17,177,19885
4354,72,31,167,19884
4355,72,30,168,19883
4363,72,40,141,19871
4419,66,27,153,19757
4421,66,25,161,19746
4431,67,32,144,19731
4434,66,26,159,19723
4444,72,36,140,19710
4449,72,30,171,19699
4468,66,28,146,19665
4475,65,22,140,19658
4483,66,28,147,19636
4484,70,33,139,19635
4492,69,23,175,19619
4496,69,18,184,19614
4499,66,26,157,19601
4506,67,31,147,19589
4508,72,33,133,19589
4509,69,23,174,19587
4510,66,18,139,19583
4512,72,24,178,19581
4522,67,32,145,19564
4528,70,34,135,19551
4545,66,26,158,19520
4547,66,28,148,19515
4551,66,26,156,19506
4572,72,33,171,19473
4577,67,31,148,19470
4581,67,31,146,19465
4589,65,22,139,19443
4592,66,25,162,19440
4607,67,29,161,19412
4612,67,29,159,19394
4627,70,34,134,19370
4632,69,37,145,19363
4634,68,15,187,19361
4644,65,17,178,19342
4646,67,29,160,19340
4648,68,15,185,19337
4650,69,41,144,19334
4652,68,15,184,19331
4659,71,22,184,19321
4661,66,27,150,19315
4662,69,40,148,19314
4673,66,27,149,19303
4683,67,28,162,19284
4696,69,24,137,19255
4713,69,30,136,19225
4718,69,23,176,19216
4722,69,39,151,19211
4726,68,21,136,19209
4752,66,27,151,19135
4757,67,29,156,19132
4759,67,30,155,19131
4765,67,32,143,19122
4767,69,37,144,19121
4770,72,30,172,19117
4784,67,31,149,19101
4791,67,29,157,19093
4802,67,29,158,19070
4805,66,27,152,19065
4822,67,19,177,19030
4831,72,37,138,19012
4841,66,28,145,18997
4843,69,30,134,18995
4845,69,39,150,18980
4852,67,28,163,18969
4857,69,30,137,18958
4863,66,18,138,18948
4870,69,30,135,18935
4880,71,31,133,18911
4894,72,37,139,18873
4901,72,40,140,18855
4906,69,23,177,18842
4921,72,37,137,18819
4923,69,37,146,18816
4929,72,24,179,18808
4931,69,39,149,18806
4947,70,26,174,18768
4960,69,25,134,18743
4967,67,31,150,18721
4970,69,39,152,18705
4980,67,30,154,18682
4988,65,22,138,18669
4995,69,37,143,18654
5007,67,28,164,18627
5010,66,25,163,18620
5020,72,33,172,18605
5027,72,29,173,18596
5035,66,24,167,18576
5038,65,17,179,18570
5051,66,25,165,18551
5059,66,25,166,18540
5061,67,27,168,18537
5066,67,32,142,18526
5075,69,24,136,18504
5081,72,40,139,18496
5153,70,42,146,18391
5175,65,17,180,18360
5178,69,31,133,18354
5182,69,38,153,18350
5185,71,22,185,18344
5187,66,25,164,18343
5189,67,24,137,18342
5190,69,25,135,18342
5200,69,36,150,18323
5217,69,36,148,18305
5219,68,56,147,18302
5223,67,27,167,18296
5224,66,28,144,18294
5227,67,28,166,18289
5231,66,29,141,18281
5249,69,41,143,18254
5253,69,36,147,18248
5267,72,38,136,18227
5271,69,34,158,18214
5294,66,29,143,18184
5296,70,35,133,18174
5299,67,27,169,18173
5322,69,38,154,18132
5324,70,26,175,18129
5329,67,33,141,18122
5339,69,23,178,18107
5342,67,19,178,18104
5346,69,36,149,18098
5362,68,56,146,18076
5367,70,41,149,18064
5369,70,40,152,18060
5371,72,29,174,18052
5379,72,41,138,18037
5380,70,42,147,18036
5384,69,18,185,18029
5385,69,35,151,18028
5389,67,30,151,18022
5391,70,42,145,18020
5400,67,28,165,18017
5403,66,24,168,18009
5407,69,37,158,18003
5408,70,41,148,18003
5425,67,30,153,17979
5427,72,33,132,17978
5432,70,41,150,17969
5434,69,34,159,17967
5437,72,32,173,17959
5444,67,33,140,17944
5451,69,37,157,17934
5462,69,33,160,17913
5472,69,25,133,17897
5479,70,41,151,17887
5481,65,17,181,17884
5485,69,35,152,17880
5498,70,26,177,17858
5500,66,29,140,17853
5509,69,38,156,17830
5511,69,34,157,17823
5517,67,33,139,17815
5523,69,33,163,17809
5525,66,29,139,17806
5529,66,29,142,17797
5532,69,37,160,17792
5538,69,36,164,17786
5543,69,37,159,17784
5554,69,33,162,17768
5556,70,40,153,17766
5570,68,15,188,17734
5582,70,26,176,17713
5586,68,55,148,17708
5591,69,36,161,17706
5596,67,24,136,17694
5620,69,38,142,17654
5626,69,33,161,17646
5631,72,24,180,17640
5635,69,33,164,17629
5639,69,36,163,17623
5658,69,32,165,17595
5663,72,38,135,17586
5668,69,31,132,17584
5674,67,30,152,17571
5684,65,22,137,17554
5693,67,27,170,17538
5706,69,32,166,17512
5728,72,32,174,17468
5740,69,34,156,17454
5747,67,33,138,17442
5751,68,55,149,17436
5753,69,38,155,17435
5765,65,17,182,17425
5768,68,21,135,17412
5769,70,39,156,17411
5771,70,40,154,17408
5774,68,56,145,17407
5803,69,36,165,17368
5807,69,41,142,17360
5818,69,35,153,17340
5827,66,19,137,17325
5832,69,35,155,17312
5837,70,42,144,17303
5848,72,41,137,17291
5868,70,39,155,17257
5891,72,24,181,17217
5909,70,26,178,17189
5910,69,36,162,17189
5934,69,32,167,17155
5935,69,35,154,17153
5942,66,30,138,17138
5966,67,25,135,17088
5973,71,31,131,17083
5978,69,35,166,17077
5980,71,22,186,17071
5983,72,24,183,17066
6010,69,25,132,17017
6015,72,24,182,17010
6037,72,32,175,16979
6045,71,31,132,16973
6053,67,25,134,16959
6054,72,41,136,16959
6073,69,38,141,16930
6078,72,42,135,16925
6096,72,29,175,16905
6104,66,24,169,16890
6112,70,43,142,16881
6123,70,43,143,16864
6128,67,34,137,16859
6135,68,54,150,16851
6137,69,35,167,16849
6138,70,39,157,16845
6151,67,19,179,16807
6174,68,57,144,16771
6176,69,32,169,16769
6178,69,18,188,16769
6186,68,53,155,16759
6195,69,23,179,16743
6199,69,35,168,16736
6203,65,23,136,16730
6205,68,21,134,16727
6206,70,39,158,16727
6213,69,18,187,16716
6219,69,32,168,16706
6220,68,53,154,16703
6229,72,33,131,16688
6237,68,53,153,16675
6242,69,34,171,16668
6249,67,18,180,16663
6257,69,42,141,16645
6262,68,54,151,16639
6263,70,35,132,16636
6284,66,19,136,16590
6315,68,54,152,16545
6316,70,38,159,16545
6319,69,18,186,16542
6331,69,32,170,16528
6334,67,34,136,16525
6340,69,35,169,16516
6351,67,25,133,16495
6352,72,38,134,16495
6358,69,31,171,16488
6372,72,33,130,16467
6378,65,17,183,16457
6391,68,52,156,16437
6398,69,35,170,16428
6406,72,29,176,16408
6409,72,32,177,16406
6425,67,18,181,16384
6429,68,21,133,16377
6435,65,23,135,16364
6478,70,35,130,16302
6486,69,31,131,16294
6491,70,35,131,16288
6492,67,27,171,16282
6493,70,26,179,16276
6494,71,22,187,16276
6496,70,43,141,16275
6515,72,32,176,16243
6535,68,15,189,16215
6537,69,34,172,16212
6561,70,38,163,16166
6575,66,30,137,16152
6581,70,38,160,16149
6585,71,31,130,16142
6589,72,24,184,16137
6590,67,18,182,16133
6592,69,17,190,16123
6621,68,57,143,16089
6622,72,34,129,16089
6626,69,42,139,16084
6636,70,38,162,16070
6637,69,23,180,16070
6645,68,52,157,16060
6657,67,34,135,16040
6663,69,18,189,16032
6685,71,45,152,16003
6694,70,37,164,15987
6715,70,38,161,15959
6720,69,31,172,15946
6722,69,42,140,15944
6730,70,36,168,15930
6735,68,21,132,15926
6736,68,22,130,15923
6750,67,25,132,15906
6757,72,32,178,15888
6765,66,24,170,15871
6766,65,23,134,15870
6779,72,38,133,15845
6800,72,29,177,15818
6810,68,21,131,15805
6813,67,40,146,15802
6816,71,22,188,15802
6844,69,38,140,15764
6845,67,25,131,15763
6870,72,42,134,15733
6873,70,44,140,15725
6874,66,30,136,15725
6880,69,25,131,15722
6883,68,57,142,15718
6892,65,17,184,15706
6895,71,46,151,15704
6896,69,17,191,15703
6901,69,43,138,15695
6919,70,37,167,15663
6922,68,51,161,15660
6926,66,19,135,15655
6936,67,40,145,15647
6941,69,39,139,15636
6979,68,52,158,15583
6980,71,47,146,15582
6994,71,46,150,15554
7030,71,32,129,15510
7046,68,51,159,15489
7053,68,50,162,15481
7065,71,46,149,15455
7075,69,34,173,15443
7091,67,27,172,15422
7122,72,29,178,15389
7126,71,47,148,15385
7127,67,34,134,15385
7128,71,45,153,15384
7133,70,37,166,15381
7139,69,31,173,15376
7142,66,19,134,15372
7147,68,51,160,15367
7148,71,47,147,15367
7156,71,47,145,15358
7180,70,26,180,15318
7187,70,36,129,15310
7199,68,50,163,15292
7202,67,41,144,15291
7210,68,15,190,15281
7229,70,36,171,15261
7238,69,34,174,15250
7239,68,22,129,15247
7240,67,40,147,15247
7262,66,19,133,15226
7263,70,36,169,15223
7264,67,39,151,15223
7265,70,37,165,15222
7268,65,16,188,15221
7278,67,39,152,15204
7289,66,30,135,15188
7293,69,23,181,15183
7296,72,34,128,15179
7300,68,50,164,15176
7318,67,18,183,15148
7335,69,31,130,15129
7343,71,45,154,15118
7354,68,58,141,15102
7360,67,41,143,15097
7366,70,36,170,15085
7369,66,24,171,15081
7384,70,44,139,15061
7395,71,48,144,15045
7396,72,23,185,15043
7397,72,28,179,15040
7402,67,38,153,15035
7421,66,30,134,15016
7423,70,36,172,15015
7426,72,31,179,15013
7428,66,31,133,15012
7431,66,24,172,15006
7441,65,23,133,14990
7445,67,27,173,14980
7451,71,43,161,14973
7464,67,39,150,14952
7466,69,39,138,14949
7499,67,35,133,14908
7531,66,31,132,14855
7549,67,38,154,14836
7563,69,22,182,14821
7564,72,39,132,14820
7610,69,32,129,14765
7612,66,36,147,14763
7613,67,25,130,14762
7618,67,38,155,14757
7619,69,22,183,14756
7620,69,31,174,14754
7624,71,21,190,14751
7627,67,40,148,14748
7636,65,16,187,14741
7641,70,35,173,14735
7651,69,43,137,14728
7657,67,41,142,14718
7667,67,39,149,14705
7668,65,16,189,14705
7669,65,23,132,14702
7682,71,22,189,14692
7684,68,15,191,14690
7687,70,25,181,14687
7688,68,49,167,14685
7689,66,24,173,14685
7704,68,58,140,14666
7724,66,37,144,14633
7726,66,19,132,14629
7751,68,48,169,14603
7757,69,17,192,14595
7761,71,43,160,14587
7763,66,36,148,14586
7770,71,44,157,14582
7779,71,44,155,14572
7808,71,44,156,14540
7822,66,37,143,14526
7825,69,25,130,14525
7827,69,22,184,14521
7831,65,23,131,14518
7849,68,49,165,14497
7858,66,37,146,14483
7868,72,34,127,14466
7872,71,43,159,14464
7889,68,49,168,14451
7890,68,49,166,14451
7896,72,42,133,14446
7899,66,36,149,14443
7911,65,17,185,14433
7916,71,42,162,14426
7935,70,44,138,14401
7936,65,16,186,14401
7963,67,38,156,14368
7965,71,42,163,14366
7972,72,31,180,14355
7999,68,59,139,14319
8006,72,23,186,14311
