,h,s,v,num
56557,64,121,122,2328
59257,64,120,123,2197
60216,64,122,121,2156
64883,64,123,120,1967
65331,64,119,124,1951
67963,64,125,118,1856
68472,64,124,119,1837
68642,64,127,116,1831
70347,64,129,115,1771
71398,64,126,117,1738
71573,64,118,125,1731
74262,64,110,135,1648
75175,64,110,134,1622
75291,64,114,130,1619
77012,64,118,121,1569
77205,64,113,131,1563
77381,64,109,136,1558
77691,64,111,133,1550
77711,64,112,132,1549
78281,64,115,129,1534
78946,64,116,128,1517
78983,64,117,126,1516
79710,62,104,127,1498
79817,62,104,128,1496
80168,64,116,127,1487
80545,62,103,129,1478
81253,62,105,126,1460
81922,64,103,119,1444
82400,63,102,118,1433
82675,62,109,122,1426
82875,62,108,123,1421
83183,64,102,120,1413
83296,64,104,118,1410
83528,64,106,116,1405
83671,62,102,130,1402
83700,64,119,120,1401
83793,64,117,122,1399
83815,64,105,117,1398
84488,64,108,137,1382
84751,62,110,121,1376
85954,63,104,115,1349
86525,63,103,116,1336
86709,62,107,124,1332
87124,63,102,117,1323
87820,64,106,115,1307
88665,62,111,119,1289
89091,62,106,125,1279
89606,62,111,120,1268
89715,64,107,138,1265
90240,64,116,123,1255
90257,64,106,139,1254
92248,64,106,140,1213
94890,64,103,144,1162
95572,64,104,142,1149
96777,62,112,118,1125
96885,64,103,143,1123
97150,64,115,124,1118
97502,62,113,117,1111
97724,62,102,123,1107
97730,64,105,141,1107
98150,64,120,119,1099
98154,64,102,145,1099
98725,62,104,120,1088
99276,62,103,121,1078
100549,62,102,118,1056
100625,62,115,115,1055
100884,62,102,117,1050
100947,62,102,122,1049
101363,62,103,116,1042
101487,62,104,115,1040
101772,64,111,122,1035
102136,63,110,121,1028
102343,64,118,115,1025
102656,64,124,123,1020
103104,62,114,116,1013
103144,64,112,121,1012
103699,64,110,123,1003
103987,64,125,122,998
104415,64,113,120,991
104559,63,111,120,989
104611,64,114,125,988
104669,62,105,119,987
104833,62,106,118,985
105077,63,108,123,981
105078,62,107,117,981
105147,64,111,129,980
105215,63,109,122,979
105362,64,123,116,977
105401,63,115,115,976
105616,64,126,121,973
106737,64,124,115,955
106771,63,107,124,954
106934,64,121,118,952
107541,64,122,117,943
108138,63,114,116,934
108339,62,108,116,931
108913,64,116,117,922
108915,63,112,123,922
109086,64,112,127,919
109507,62,109,115,913
109572,63,106,125,912
109749,64,109,124,910
109829,63,114,121,909
109889,64,114,119,908
109982,64,112,128,907
110266,63,113,122,903
110671,64,128,120,897
110866,64,113,126,894
111009,63,153,117,892
111474,62,104,133,885
111696,64,117,116,882
111790,64,106,127,881
111818,64,107,133,880
111965,64,110,130,878
112083,62,128,132,877
112133,63,111,119,876
112444,63,115,120,872
112894,62,127,133,866
112972,63,105,126,865
113112,64,107,126,863
113208,64,108,132,861
113245,64,123,124,861
113532,63,103,134,857
113654,62,104,132,856
114301,63,104,133,847
114633,64,115,118,843
114703,64,108,125,842
116121,63,153,120,824
116338,63,110,125,821
116471,64,107,134,819
116534,63,102,135,818
116671,63,112,118,817
117017,62,129,130,813
117105,63,116,119,812
117326,64,105,129,809
117558,64,109,131,806
117810,63,104,127,803
118119,63,111,124,799
118128,63,105,131,799
118272,64,106,135,797
118784,63,113,117,791
119003,64,120,127,788
119011,63,104,128,788
119129,63,119,122,787
119362,63,118,123,784
119438,64,106,128,783
119531,62,128,131,782
119599,64,105,136,781
119740,63,104,132,779
119860,62,131,128,778
119861,64,113,135,778
119941,62,105,131,777
120153,63,102,130,774
120250,63,106,130,773
120291,62,102,135,773
120439,64,129,119,771
120462,63,108,127,770
120596,64,122,125,769
120597,61,108,116,769
120599,62,103,134,769
120644,63,108,128,768
120934,64,113,136,765
121015,61,106,118,764
121332,63,107,129,760
121624,64,130,118,757
121785,62,126,134,755
121809,64,102,133,754
121951,64,132,116,753
122102,63,109,126,751
122383,62,133,127,748
122835,63,112,130,742
122836,63,110,132,742
122894,63,120,115,742
122992,62,130,129,741
123370,63,111,131,736
123620,63,107,136,734
123742,64,116,132,732
124253,64,112,137,727
124434,60,118,125,725
124507,63,108,134,724
124604,63,103,129,723
124708,61,105,119,722
124709,63,117,118,722
124859,64,104,130,720
124981,63,119,116,719
125308,61,117,129,716
125403,63,106,137,715
125467,64,117,131,714
125592,64,103,131,712
125862,63,120,121,710
125875,62,106,130,710
125918,64,104,137,709
125958,63,109,133,709
125986,64,102,132,708
126154,61,119,131,707
126217,62,114,121,706
126405,61,102,123,704
126515,63,121,120,703
127157,63,124,117,696
127263,62,125,135,695
127353,61,118,128,694
127408,64,120,128,693
127616,62,107,129,691
128001,63,118,117,687
128112,64,153,117,686
128139,63,113,129,685
128514,64,153,120,682
128900,61,104,120,678
128954,64,153,123,678
129110,63,105,138,676
129502,63,117,124,672
129537,61,119,126,672
129611,61,102,118,671
129621,61,102,122,671
130001,64,121,126,667
130275,61,107,117,664
130276,61,104,115,664
130296,64,131,117,664
130498,62,124,136,662
130600,63,137,130,661
130602,63,122,119,661
130707,62,136,124,660
130802,62,135,125,659
130878,64,111,138,658
131037,64,103,138,656
131106,63,125,116,656
131170,62,113,122,655
131257,64,115,133,654
131278,63,108,135,654
131396,61,118,127,653
131484,64,114,134,652
131505,63,132,131,652
131822,63,135,132,649
132024,61,103,116,647
132050,61,120,125,647
132051,62,138,122,647
132244,62,124,132,645
132245,61,120,130,645
132249,63,103,141,645
132250,63,123,118,645
132255,62,139,121,645
132542,60,117,126,642
132725,64,118,130,640
132726,62,115,120,640
132869,64,133,115,639
133045,64,119,129,637
133173,61,103,121,636
133322,63,133,130,635
133523,63,116,125,633
133643,64,110,139,632
133868,63,105,139,630
133925,63,114,128,629
133986,62,134,126,629
133987,63,134,129,629
133990,63,126,115,629
134112,63,153,133,628
134223,63,136,131,627
134421,63,102,143,625
134634,61,109,115,623
134961,63,139,128,620
135431,63,131,132,616
135530,63,138,129,615
135784,62,122,138,613
135785,62,123,137,613
136348,62,137,123,608
136464,62,140,120,607
136657,63,114,127,605
137060,63,104,140,602
137770,64,153,125,596
137779,63,102,142,596
138140,60,119,124,593
138349,61,116,130,591
138823,62,116,119,587
138912,62,112,123,586
138913,61,102,117,586
139178,63,135,128,584
139179,62,108,128,584
139277,63,133,134,583
139293,62,143,118,583
139544,63,149,120,581
139678,64,103,139,580
139792,59,102,117,579
139805,64,139,119,579
139932,61,121,129,578
140144,62,111,124,576
140226,64,102,140,575
140425,62,141,119,574
140538,63,148,121,573
140653,62,117,118,572
140654,64,137,117,572
140903,63,134,133,570
141151,63,150,119,568
141261,63,130,133,567
141372,62,110,125,566
141481,60,102,115,565
141522,63,141,127,565
141660,62,123,133,564
141944,61,118,132,562
141955,63,123,145,562
141956,64,153,133,562
142962,62,108,127,554
143379,62,119,116,551
143515,64,153,127,550
143614,61,109,117,549
143871,63,115,126,547
144047,62,118,117,546
144067,62,145,116,546
144430,64,136,118,543
144440,63,137,127,543
144574,61,102,125,542
144581,63,146,122,542
144983,63,145,123,539
145087,64,115,140,538
145232,63,132,135,537
145240,63,124,144,537
145383,63,153,140,536
145495,63,125,143,535
145623,64,135,119,534
145642,64,114,141,534
145789,63,126,142,533
145926,63,129,134,532
146173,61,117,133,530
146445,61,121,124,528
146647,59,103,116,526
146727,63,131,136,526
146831,59,102,118,525
146850,61,103,124,525
146979,64,134,120,524
146981,64,109,140,524
147134,63,112,137,523
147270,62,144,117,522
147361,61,107,119,521
147366,63,109,141,521
147519,62,121,139,520
147786,61,111,115,518
148045,62,122,134,516
148486,61,104,123,513
148618,62,109,126,512
148737,61,106,120,511
149438,64,126,127,506
149440,63,142,126,506
149452,63,153,125,506
149589,62,117,129,505
149607,63,143,121,505
149717,61,108,118,504
149881,63,111,138,503
150005,60,116,127,502
150144,64,138,120,501
150293,63,122,146,500
150580,63,114,132,498
150590,64,109,141,498
150850,61,110,116,496
151130,64,133,121,494
151262,63,127,131,493
151400,63,124,130,492
151549,64,137,121,491
151683,63,144,124,490
151702,63,143,128,490
151703,62,120,140,490
151829,64,138,116,489
151833,62,120,115,489
151994,64,116,138,488
151999,63,122,123,488
152014,62,107,145,488
152021,63,141,130,488
152143,64,112,143,487
152450,62,120,130,485
152451,63,123,131,485
152465,63,145,120,485
152587,64,107,143,484
152588,62,118,128,484
152625,64,120,138,484
