,h,s,v,num
8,95,20,168,49124
10,95,20,169,48584
11,90,19,160,48211
13,90,19,161,47644
14,95,20,170,47547
15,95,20,167,47432
16,92,23,168,47281
17,90,19,159,47216
18,90,18,168,47039
19,95,20,163,46900
20,95,20,162,46845
21,92,23,169,46760
22,90,18,167,46758
23,95,21,161,46715
24,90,18,166,46713
25,92,23,170,46689
26,90,18,169,46447
27,95,19,175,46386
28,95,20,166,46320
29,95,19,176,46207
30,92,23,167,46057
31,90,19,162,45998
32,95,19,171,45976
33,95,19,174,45807
34,90,19,158,45762
35,95,19,177,45637
36,95,21,160,45591
37,89,31,163,45537
38,92,22,171,45269
39,90,20,154,45201
40,92,23,166,45200
42,92,24,162,44931
43,92,23,163,44929
44,90,19,157,44738
45,89,30,169,44684
46,90,18,170,44677
47,92,22,172,44650
48,90,18,173,44590
49,89,32,160,44565
50,95,20,165,44506
51,90,18,174,44430
52,95,19,172,44425
53,90,19,165,44370
54,90,20,155,44359
55,89,30,168,44318
56,90,18,172,44275
57,95,19,173,44199
58,89,31,164,44108
59,95,20,164,44095
60,89,31,162,44085
61,92,22,173,44074
62,90,20,153,44011
63,89,31,167,43967
64,95,21,159,43965
65,95,19,178,43958
66,90,18,171,43925
67,89,30,170,43877
68,92,24,161,43815
69,90,19,163,43767
70,89,31,166,43758
71,92,22,174,43734
73,92,23,164,43536
74,90,17,175,43465
75,90,19,164,43415
76,92,23,165,43379
77,89,31,165,43261
78,95,18,167,43225
79,90,20,156,43195
80,89,32,161,43156
81,90,20,152,42899
82,92,22,175,42682
83,89,30,171,42347
84,95,21,156,42318
85,92,24,160,42181
86,95,21,158,42155
87,89,32,159,42147
88,90,17,176,42069
89,95,18,166,42014
90,90,24,171,41850
91,92,22,176,41733
92,95,18,174,41684
93,95,21,157,41675
94,89,32,157,41391
95,95,19,179,41336
96,90,28,166,41214
97,95,21,155,41195
98,90,28,163,41154
99,89,33,156,41103
100,92,24,159,41052
101,90,24,170,40973
102,98,16,176,40968
103,95,18,168,40966
104,95,19,165,40943
105,95,18,173,40935
106,90,28,162,40924
107,90,28,164,40867
108,89,32,158,40865
109,95,17,175,40837
111,92,25,156,40789
112,90,29,161,40703
113,90,29,159,40691
114,92,24,157,40636
115,98,16,177,40614
116,90,25,164,40611
117,90,24,169,40575
118,90,27,167,40570
119,95,18,181,40551
120,92,22,177,40538
121,95,18,180,40527
122,95,22,154,40447
123,90,25,163,40435
124,89,33,155,40418
125,92,24,158,40380
126,89,30,172,40313
127,90,27,171,40297
128,98,16,175,40252
129,90,28,165,40227
130,95,18,169,40153
131,90,24,172,40084
132,90,29,160,40084
133,95,19,160,40077
134,98,16,174,40029
135,92,25,155,40018
136,90,27,170,40011
137,90,25,166,40004
138,90,24,167,39984
