,h,s,v,num
41477,67,59,78,3288
42163,67,57,81,3234
42240,67,58,79,3228
42320,70,59,78,3220
42321,67,55,84,3220
43276,66,56,73,3146
43387,70,58,79,3138
43581,67,57,80,3124
43775,67,55,83,3108
43948,70,57,81,3096
44675,70,55,84,3044
44712,67,56,82,3042
45217,70,57,80,3002
45239,66,55,74,3000
45480,70,55,83,2982
46052,66,57,72,2940
46238,70,56,82,2928
46608,66,57,71,2904
46723,69,56,73,2896
46904,72,54,80,2884
47260,66,54,75,2860
47377,66,58,70,2852
47402,66,54,76,2850
47538,72,52,84,2842
47836,69,55,74,2822
48147,69,54,75,2802
48283,69,57,72,2792
48455,72,54,81,2780
48687,72,52,83,2764
49050,66,50,82,2738
49374,66,50,81,2718
49576,69,53,77,2706
49985,66,53,77,2680
50085,66,59,69,2674
50226,69,49,83,2666
50441,66,49,84,2654
50589,66,49,83,2646
50625,72,53,82,2644
50691,69,57,71,2640
50805,72,56,78,2634
50936,66,51,80,2626
51107,72,55,79,2616
51172,69,50,82,2612
51506,66,52,78,2592
51507,69,52,79,2592
51545,69,51,80,2590
51980,69,58,70,2566
52542,72,59,73,2534
52650,72,57,76,2528
52810,69,52,78,2520
52845,69,54,76,2518
53171,69,49,84,2500
53302,69,50,81,2492
53748,72,59,74,2466
53992,69,59,69,2454
54160,72,56,77,2446
54406,72,58,75,2434
55728,66,52,79,2368
57772,71,52,78,2264
59269,71,49,84,2196
59677,67,39,84,2178
60013,71,53,77,2164
61302,71,51,80,2108
61351,71,50,82,2106
61709,71,49,83,2092
61752,67,40,83,2090
61947,71,50,81,2082
62284,67,50,66,2068
62416,67,49,68,2062
62460,65,36,84,2060
62461,69,40,82,2060
62572,69,40,83,2056
62573,71,52,79,2056
62776,67,49,67,2048
63264,69,39,84,2028
63595,67,45,74,2016
63640,67,44,76,2014
64094,67,40,82,1996
64225,67,46,72,1990
64439,71,57,72,1982
64542,67,47,70,1978
64595,71,55,74,1976
64931,69,41,81,1964
65170,71,56,73,1956
65455,67,44,75,1946
65620,67,41,81,1940
65731,67,48,69,1936
65778,69,43,77,1934
65947,67,45,73,1928
66014,65,37,83,1926
66542,65,38,81,1906
66596,67,47,71,1904
66791,71,54,75,1896
66895,71,59,69,1892
67053,71,54,76,1886
67297,65,37,82,1878
67298,67,41,80,1878
67521,69,44,75,1870
67640,69,41,80,1866
67822,69,43,78,1860
67983,69,42,79,1854
68257,67,42,79,1844
69105,67,52,64,1814
69551,69,45,74,1798
69658,71,57,71,1794
69824,69,44,76,1788
70117,67,43,78,1778
70354,67,43,77,1770
71155,68,35,81,1744
71754,69,45,73,1724
72330,71,58,70,1706
72679,68,34,83,1696
72739,67,51,65,1694
72986,69,46,72,1686
73245,67,53,63,1678
73315,63,55,84,1676
73569,68,44,64,1668
74046,68,33,84,1654
74183,65,47,65,1650
74607,68,36,79,1638
74950,65,52,59,1628
75157,65,53,58,1622
75297,67,53,62,1618
75542,68,37,76,1610
75543,69,47,70,1610
75611,65,55,56,1608
76010,65,41,75,1596
76011,65,40,77,1596
76087,68,35,80,1594
76384,68,34,82,1586
76442,65,38,80,1584
76443,68,38,74,1584
76444,68,46,61,1584
76524,67,54,61,1582
76525,65,48,64,1582
76526,68,37,75,1582
76527,65,39,78,1582
76933,67,55,60,1570
76935,63,55,83,1570
77024,69,51,65,1568
77163,69,47,71,1564
77373,65,46,66,1558
77374,65,49,63,1558
77375,68,36,77,1558
77523,65,54,57,1554
77586,65,51,60,1552
77730,66,30,84,1548
77731,65,40,76,1548
77798,65,50,61,1546
77946,68,36,78,1542
78243,68,45,63,1534
78482,65,46,67,1528
78568,68,43,65,1526
78569,69,52,64,1526
78570,69,49,67,1526
78796,65,39,79,1520
79035,63,56,82,1514
79212,66,31,83,1510
79213,68,41,69,1510
79273,63,57,81,1509
79315,63,57,80,1508
79460,69,53,63,1504
79533,68,38,73,1502
79534,68,40,70,1502
79694,66,31,82,1498
79833,63,59,78,1495
80019,69,49,68,1490
80020,69,53,62,1490
80174,65,42,73,1486
80258,66,31,81,1484
80416,68,45,62,1480
80594,65,45,68,1476
80595,68,47,60,1476
80773,66,32,80,1472
80917,68,42,66,1468
81423,63,58,79,1455
81522,68,40,71,1452
81712,65,49,62,1448
82043,69,54,61,1440
82044,68,41,68,1440
82045,69,50,66,1440
82221,69,48,69,1436
82310,69,55,60,1434
82311,67,58,57,1434
82468,66,46,28,1430
82881,68,42,67,1420
82968,68,39,72,1418
83365,66,33,78,1408
83451,65,43,71,1406
83545,65,41,74,1404
83887,65,58,53,1396
83888,68,49,57,1396
83972,69,58,57,1394
84131,69,56,59,1390
84133,65,44,69,1390
84211,65,43,72,1388
84397,66,34,75,1384
84398,65,44,70,1384
84480,67,56,59,1382
84797,67,57,58,1374
84904,66,22,58,1372
85524,66,41,31,1358
85525,66,34,74,1358
85684,65,57,54,1354
85872,68,50,56,1350
86134,65,56,55,1344
86398,60,58,84,1338
86487,66,32,79,1336
86578,69,57,58,1334
86675,66,33,77,1332
86951,66,22,59,1326
87137,66,22,57,1322
87403,66,34,76,1316
88200,67,59,56,1298
88205,66,21,60,1298
88275,66,43,60,1296
88473,68,52,54,1292
88475,66,16,78,1292
88490,70,35,44,1292
88672,69,59,56,1288
88758,68,48,59,1286
89001,65,59,52,1280
89227,66,16,81,1276
89326,66,43,30,1274
89425,70,25,61,1272
89576,66,44,58,1268
89652,66,42,61,1266
89942,66,44,29,1260
89943,68,48,58,1260
89951,66,16,82,1260
89952,66,16,80,1260
90038,68,51,55,1258
90353,66,43,59,1252
90359,66,21,61,1252
91047,60,58,83,1237
91082,66,34,37,1236
91281,70,44,35,1232
91291,70,19,81,1232
91383,60,59,82,1230
91479,66,54,47,1228
91480,70,39,39,1228
91594,70,26,60,1226
91690,66,35,36,1224
91778,66,39,66,1222
91785,66,15,83,1222
91786,70,18,83,1222
91800,70,36,43,1222
91889,70,19,82,1220
92074,66,35,73,1216
92080,66,16,79,1216
92081,66,19,67,1216
92170,66,35,72,1214
92176,66,30,43,1214
92292,70,24,64,1212
92379,68,55,51,1210
92380,66,41,62,1210
92484,70,26,59,1208
92583,66,20,65,1206
92783,66,50,51,1202
92900,66,39,65,1200
92906,66,32,40,1200
92994,68,57,49,1198
92998,70,20,75,1198
93222,70,41,37,1194
93241,66,34,38,1194
93421,70,45,34,1190
93546,70,38,40,1188
93634,66,40,32,1186
93635,66,55,46,1186
93644,66,17,74,1186
93745,68,53,53,1184
93834,66,24,54,1182
93918,70,21,73,1180
94042,70,42,36,1178
94043,68,54,52,1178
94044,66,40,64,1178
94051,66,19,68,1178
94053,70,25,62,1178
94138,66,15,84,1176
94139,66,18,69,1176
94254,66,46,55,1174
94445,66,38,67,1170
94452,66,18,72,1170
94557,66,53,48,1168
94575,66,28,45,1168
94948,66,57,45,1160
94949,66,36,70,1160
94957,66,23,56,1160
95062,66,18,70,1158
95071,66,47,54,1158
95079,66,26,50,1158
95170,66,49,52,1156
95171,66,38,68,1156
95271,70,40,38,1154
95275,66,17,76,1154
95277,70,53,29,1154
95280,66,36,71,1154
95315,62,59,73,1153
95347,66,40,63,1152
95355,66,17,73,1152
95356,70,19,79,1152
95476,70,20,76,1150
95497,70,37,41,1150
95783,70,27,57,1144
95793,70,30,51,1144
95964,66,19,66,1140
95965,70,33,46,1140
96051,66,51,50,1138
96057,70,28,55,1138
96480,66,38,34,1130
96481,66,37,69,1130
96486,70,19,80,1130
96590,70,29,52,1128
96695,70,20,77,1126
96708,70,33,47,1126
96792,66,23,55,1124
96795,66,24,53,1124
96800,70,24,63,1124
96887,70,20,78,1122
96892,70,24,65,1122
97008,70,32,48,1120
97022,70,36,42,1120
97114,66,17,75,1118
97115,66,20,64,1118
97117,70,34,45,1118
97201,70,46,33,1116
97300,66,17,77,1114
97301,70,18,84,1114
97410,68,58,48,1112
97411,70,28,54,1112
97420,70,23,68,1112
97510,66,30,42,1110
97629,70,55,28,1108
97840,70,29,53,1104
97881,60,37,83,1103
97925,66,52,49,1102
97937,66,28,46,1102
97985,62,59,74,1101
98048,66,21,62,1100
98106,62,53,82,1099
98170,66,46,56,1098
98301,66,27,48,1096
98407,66,45,57,1094
98455,60,36,84,1093
98484,70,48,32,1092
98680,66,48,53,1088
98805,66,18,71,1086
98924,66,39,33,1084
99093,70,49,31,1080
99109,70,23,66,1080
99114,66,25,51,1080
99232,66,36,35,1078
99462,70,22,71,1074
99468,70,22,69,1074
99606,70,31,50,1072
99704,70,21,74,1070
99725,70,21,72,1070
100074,66,26,49,1064
100288,66,31,41,1060
100533,70,31,49,1056
100631,68,56,50,1054
100758,66,25,52,1052
100774,66,29,44,1052
101086,66,27,47,1046
101443,66,58,44,1040
101561,62,52,83,1038
101691,66,33,39,1036
101938,62,56,78,1031
102123,70,26,58,1028
102243,70,51,30,1026
102614,60,38,81,1020
102923,62,44,81,1015
102924,62,57,76,1015
102975,60,37,82,1014
103053,62,55,79,1013
103114,66,20,63,1012
103452,62,42,84,1006
103465,70,22,70,1006
103585,70,27,56,1004
103777,62,56,77,1001
103823,70,23,67,1000
104061,62,58,75,996
104446,63,30,84,990
104520,62,43,83,989
104569,62,44,82,988
104683,62,54,80,986
104684,62,54,81,986
104779,62,52,84,985
105037,58,47,82,981
105165,60,38,80,979
106074,62,45,80,965
107091,58,46,84,949
107272,66,59,43,946
107331,58,46,83,945
107497,62,49,73,943
107973,58,59,78,936
108218,58,56,82,932
108467,62,50,72,928
108609,62,46,78,926
108730,62,50,71,924
108863,63,31,83,922
108937,60,39,78,921
108987,58,55,84,920
109522,58,47,81,912
109621,60,39,79,911
109774,58,55,83,909
109928,62,45,79,907
111805,58,57,80,880
112030,58,48,80,877
112225,62,52,69,874
112464,62,51,70,871
112465,63,31,81,871
112666,62,48,74,868
112667,58,58,79,868
112814,58,54,71,866
113515,62,46,77,857
113516,58,57,81,857
113669,58,48,79,855
113838,62,53,67,853
115206,63,31,82,835
115267,63,32,80,834
115417,62,48,75,832
115805,58,49,78,827
116451,58,50,77,819
116511,58,52,73,818
116960,58,52,74,813
117413,63,32,79,807
117498,62,53,68,806
117588,58,53,72,805
117827,62,56,64,802
118289,62,47,76,796
118381,58,55,70,795
118628,60,41,75,792
118729,60,40,76,791
118968,60,40,77,788
119458,62,54,66,782
119550,62,59,61,781
119878,58,50,76,777
120858,58,51,75,765
120944,58,55,69,764
121110,62,57,63,762
121371,62,55,65,759
121638,62,58,62,756
121792,63,33,78,754
123713,60,21,84,732
125898,60,49,63,709
125899,58,57,67,709
126086,58,56,68,707
126437,60,44,70,703
126653,60,44,69,701
126736,60,43,71,700
127075,58,58,66,696
128122,63,33,77,685
128537,60,49,62,681
129019,63,34,76,676
129126,60,42,73,675
129424,58,59,65,672
129434,63,34,75,672
129552,60,50,61,671
129732,60,47,65,669
130127,60,41,74,665
130736,60,22,83,659
130905,60,43,72,657
131012,60,45,68,656
131961,60,23,79,647
132175,63,43,59,645
132176,60,48,64,645
132358,63,46,56,643
132429,60,52,59,642
132557,60,51,60,641
132759,60,46,66,639
132760,63,42,61,639
132881,63,45,57,638
133239,60,22,80,635
133342,60,22,82,634
133451,60,22,81,633
133549,63,47,54,632
133553,60,24,73,632
133913,60,24,74,629
134139,60,23,78,627
134345,60,46,67,625
134647,63,48,53,622
134652,60,23,77,622
134761,63,34,74,621
134874,63,41,62,620
135244,60,24,75,617
135447,63,43,60,615
135448,60,27,65,615
136241,63,35,73,608
136625,60,23,76,605
137098,63,46,55,601
137198,60,28,64,600
137547,63,53,48,597
139296,60,54,57,582
139472,60,25,71,581
139956,63,49,52,577
139957,63,39,66,577
140199,60,29,61,575
140944,63,52,49,569
141167,63,44,58,567
141202,63,37,69,567
141424,60,44,41,565
141425,60,58,53,565
141432,60,25,72,565
141708,63,50,51,563
141709,60,53,58,563
141740,60,27,67,563
141983,63,35,72,561
141999,60,27,66,561
142091,60,41,44,560
142379,63,36,71,558
142533,60,26,69,557
142866,60,55,56,554
143112,60,42,43,552
143390,60,28,63,550
143531,60,45,40,549
143565,60,30,60,549
143649,60,29,62,548
143792,60,48,37,547
143912,63,40,64,546
144190,63,38,68,544
144601,63,38,67,541
144623,60,26,68,541
145243,63,36,70,536
146370,60,31,58,528
146477,60,46,39,527
146768,60,30,59,525
146868,63,54,47,524
147017,60,43,42,523
147825,60,56,55,517
148358,63,57,45,513
148372,60,31,57,513
149072,60,57,54,508
149217,63,40,63,507
149485,63,51,50,505
149643,60,25,70,504
149759,63,55,46,503
150626,63,39,65,497
150749,60,50,36,496
150894,60,40,45,495
151278,60,59,52,492
151458,60,38,47,491
152949,60,39,46,481
153108,60,37,48,480
153557,60,32,56,477
153893,60,47,38,475
155722,60,51,35,463
157072,60,54,33,454
158540,60,36,49,445
158541,60,34,53,445
158633,60,33,54,444
159149,63,59,43,441
159166,60,34,52,441
160472,60,53,34,433
160634,60,32,55,432
161905,63,58,44,424
163190,60,58,31,416
163214,60,36,50,416
166888,60,35,51,394
167632,60,56,32,390
