,h,s,v,num
35813,71,217,120,3836
35932,71,220,118,3824
36093,71,219,119,3806
36276,71,222,117,3786
39934,71,224,116,3430
40684,69,225,84,3360
41868,70,217,81,3258
43427,71,226,115,3136
44481,69,227,83,3060
46683,70,217,113,2900
47280,70,218,116,2860
48068,70,220,80,2808
48162,71,222,84,2802
48381,70,218,118,2786
48411,67,227,82,2784
48958,70,219,112,2746
48986,69,227,109,2744
49097,70,220,115,2736
49483,71,228,114,2712
49657,70,223,113,2702
49794,67,224,83,2694
49974,70,223,79,2682
50209,70,221,114,2668
50245,69,229,108,2666
50645,69,225,110,2644
51344,70,221,111,2604
51791,70,220,117,2578
51861,69,222,85,2574
52266,70,225,112,2550
52450,70,224,115,2540
52600,69,221,106,2532
52675,69,217,106,2528
52864,70,222,116,2518
52938,70,226,78,2514
53253,69,226,107,2496
53541,72,217,122,2478
53727,71,218,123,2468
53728,71,223,120,2468
53849,71,218,117,2462
53932,70,223,110,2458
54137,70,229,77,2448
54138,69,219,86,2448
54266,71,224,83,2442
54267,70,225,109,2442
54425,71,219,122,2434
54465,71,221,121,2432
54505,67,236,79,2430
54652,70,229,110,2422
54764,71,217,107,2416
54766,69,224,108,2416
54798,67,239,78,2414
54838,69,226,104,2412
54970,69,217,108,2406
55272,69,221,104,2392
55477,69,229,106,2382
55748,69,223,111,2368
55951,67,222,84,2358
56130,69,223,105,2350
56131,69,220,94,2350
56165,70,227,111,2348
56340,70,226,114,2340
56493,71,220,116,2332
56617,72,223,119,2326
56649,69,219,113,2324
56654,69,219,105,2324
56655,69,217,87,2324
57007,72,225,118,2306
57098,71,218,76,2301
57160,69,217,114,2298
57195,72,227,117,2296
57245,72,219,121,2294
57246,71,225,119,2294
57285,69,219,107,2292
57441,70,228,113,2284
57751,72,221,120,2266
57805,69,223,103,2264
57806,71,226,113,2264
58489,71,219,106,2232
58628,69,221,112,2226
58631,71,221,105,2226
58937,71,222,115,2212
59577,67,233,80,2184
59658,71,224,114,2180
59774,66,224,81,2175
59950,72,222,107,2168
59995,69,222,109,2166
60509,69,217,95,2144
60663,71,227,118,2136
60766,70,218,97,2132
60917,69,228,103,2126
60918,70,227,108,2126
61062,69,220,110,2120
61920,72,229,118,2084
61923,72,229,116,2084
62254,72,218,109,2070
62755,69,222,93,2050
62865,69,225,92,2046
62907,71,218,89,2044
62945,69,227,101,2042
63145,69,225,102,2034
63190,67,230,81,2032
63210,66,225,76,2031
63240,72,227,119,2030
63294,71,229,117,2028
63295,69,218,111,2028
63296,72,225,120,2028
63298,69,228,94,2028
63412,70,218,103,2024
63566,72,218,102,2018
63763,69,219,98,2010
63868,69,227,91,2006
63985,71,227,82,2001
64074,72,220,108,1998
64080,69,225,95,1998
64307,72,219,127,1988
64311,69,229,90,1988
64412,71,219,85,1984
64413,71,228,112,1984
64437,66,219,78,1983
64523,70,220,102,1980
65090,70,223,95,1960
65309,70,227,120,1952
65313,69,221,97,1952
65663,72,224,108,1940
65710,66,222,77,1938
65759,72,224,106,1936
65777,69,217,80,1935
65805,70,229,107,1934
66045,70,218,76,1926
66085,72,223,121,1924
66195,66,221,82,1920
66303,67,242,77,1916
66365,72,222,109,1914
66682,69,221,76,1902
66683,70,220,96,1902
66827,69,219,77,1896
67030,72,222,122,1888
67210,69,223,96,1882
67498,72,218,111,1872
67556,72,220,110,1870
67610,71,223,104,1868
67680,70,219,84,1866
67732,71,220,88,1864
67788,70,218,125,1862
68017,66,226,80,1854
68170,72,222,125,1848
68342,72,221,126,1842
68445,70,220,124,1838
68590,69,219,79,1833
68736,72,220,123,1828
68852,68,224,83,1824
69190,71,223,87,1812
69193,66,218,83,1812
69368,70,222,101,1806
69577,72,220,101,1798
69697,72,226,105,1794
69917,72,218,96,1786
69943,68,222,84,1785
70145,72,221,128,1778
70211,72,218,124,1776
70396,72,219,129,1770
70400,68,227,100,1770
70401,70,229,98,1770
70507,70,229,119,1766
70584,72,217,93,1764
70979,69,218,82,1752
71137,71,219,78,1746
71268,68,229,99,1742
71320,70,224,122,1740
71584,68,219,79,1731
71674,72,224,124,1728
71752,70,221,83,1725
71832,70,217,126,1722
71838,72,229,106,1722
71842,71,217,81,1722
71971,68,220,103,1718
72043,72,228,104,1716
72217,70,222,123,1710
72510,71,225,103,1702
72650,71,225,76,1698
72710,72,222,100,1696
72712,72,226,107,1696
72812,70,225,121,1692
72828,68,228,84,1692
72829,69,220,81,1692
73084,70,227,99,1684
73164,70,225,94,1682
73223,68,218,104,1680
73282,72,217,128,1678
73419,66,229,79,1674
73603,68,225,101,1668
73817,72,218,130,1662
73884,71,225,86,1660
73944,70,228,93,1658
74118,69,219,84,1653
74232,72,226,123,1650
74359,69,230,82,1646
74504,72,224,99,1642
74652,68,217,80,1638
74744,71,222,77,1635
74948,68,219,77,1629
74975,70,224,100,1628
74976,67,219,85,1628
75052,72,220,95,1626
75053,71,224,81,1626
75462,68,227,82,1614
75852,71,219,84,1602
76151,71,221,82,1593
76205,71,228,85,1592
76478,69,223,118,1584
76489,69,222,78,1584
76568,72,222,94,1582
76595,69,224,82,1581
76630,72,223,127,1580
76896,71,226,80,1572
77133,72,219,92,1566
77346,67,225,77,1560
77700,68,223,102,1550
77774,69,221,83,1548
77834,72,225,126,1546
77873,70,219,78,1545
77982,68,218,82,1542
77983,67,226,79,1542
78686,68,222,78,1524
78756,72,226,98,1522
78794,67,229,78,1521
78918,70,225,76,1518
78986,69,224,117,1516
79168,67,222,78,1512
79308,68,221,76,1509
79419,71,231,84,1506
79490,70,232,76,1504
79823,70,229,128,1496
79931,71,236,110,1493
80055,70,221,129,1490
80255,70,222,77,1485
80512,69,225,77,1479
80513,67,225,76,1479
80514,71,218,83,1479
80726,72,228,124,1474
80876,72,228,122,1470
81101,70,224,82,1464
81103,67,228,76,1464
81338,71,228,102,1458
81451,71,221,83,1455
81452,68,226,79,1455
81573,67,219,79,1452
81669,69,233,81,1450
81707,71,220,80,1449
81758,69,226,116,1448
81760,70,227,129,1448
81762,72,229,97,1448
81848,67,222,77,1446
81965,69,223,80,1443
82218,68,229,78,1437
82267,69,236,80,1436
82603,72,221,91,1428
82683,71,236,82,1426
83084,71,229,77,1416
83154,72,217,134,1414
83155,72,222,131,1414
83194,67,229,77,1413
83242,72,226,125,1412
83268,71,234,111,1411
83320,69,228,76,1410
83584,72,220,132,1404
83601,71,233,83,1404
83669,69,228,115,1402
83971,67,226,78,1395
84003,70,220,133,1394
84259,72,219,133,1388
84435,70,218,110,1384
84477,71,224,82,1383
84598,68,220,81,1380
84713,71,226,78,1377
84862,70,222,108,1374
84944,72,225,129,1372
84945,72,227,128,1372
85312,69,221,119,1364
85486,70,226,130,1360
85634,70,220,130,1356
86088,67,245,76,1346
86089,67,220,95,1346
86183,69,227,81,1344
86265,71,218,124,1342
86266,69,242,78,1342
86304,68,223,80,1341
86348,71,233,80,1340
86430,69,219,120,1338
87081,68,229,107,1324
87090,71,230,81,1324
87140,72,217,141,1322
87185,70,220,109,1322
87259,71,236,79,1320
87452,70,223,128,1316
87462,71,217,115,1316
87800,69,239,79,1308
87802,69,218,103,1308
88160,71,218,116,1300
88309,70,222,132,1296
88326,70,225,84,1296
88519,69,231,107,1292
88712,72,224,130,1288
88725,68,222,86,1288
88755,67,217,80,1287
88756,67,223,80,1287
88963,68,225,85,1282
89052,72,225,93,1280
89168,67,222,94,1278
89372,70,218,131,1274
89470,67,223,79,1272
89471,69,226,79,1272
89530,72,222,138,1270
89620,72,220,117,1268
89621,67,235,76,1268
89651,71,232,112,1267
89699,72,222,115,1266
89700,67,218,96,1266
89701,68,228,76,1266
89853,68,225,77,1263
89995,71,229,79,1260
89998,69,228,121,1260
90088,72,218,118,1258
90170,70,219,134,1256
90299,71,218,110,1254
90405,70,217,107,1252
90589,68,219,85,1248
90592,70,227,81,1248
90594,68,217,93,1248
90753,72,220,139,1244
90853,70,217,135,1242
91040,72,220,116,1238
91133,69,231,105,1236
91136,72,222,116,1236
91139,72,224,114,1236
91326,70,222,109,1232
91380,69,233,92,1231
91433,72,229,127,1230
91476,71,230,113,1229
91579,67,219,78,1227
91732,72,224,90,1224
91740,67,228,84,1224
91932,72,218,117,1220
91935,71,221,114,1220
92025,72,218,83,1218
92039,68,218,90,1218
92130,72,219,140,1216
92213,68,228,112,1214
92225,70,217,87,1214
92344,72,224,115,1212
92425,71,239,78,1210
92527,70,224,131,1208
92629,66,228,95,1206
92835,71,219,114,1202
92840,70,219,106,1202
92841,68,226,104,1202
92842,69,225,126,1202
93056,70,217,106,1198
93059,68,228,102,1198
93167,69,228,124,1196
93176,70,220,110,1196
93177,67,232,77,1196
93282,70,224,108,1194
93284,70,226,107,1194
93285,69,220,102,1194
93380,71,239,109,1192
93418,69,238,102,1191
93653,72,225,136,1186
93782,70,219,105,1184
93783,69,217,93,1184
93875,70,218,111,1182
94084,68,218,117,1178
94200,70,227,83,1176
94352,71,227,81,1173
94394,68,220,116,1172
94407,69,218,90,1172
94507,67,232,76,1170
94613,69,233,104,1168
94614,66,235,77,1168
94656,69,233,106,1167
94698,71,220,115,1166
94810,70,224,107,1164
94811,70,229,106,1164
94891,67,228,104,1162
94897,69,226,125,1162
94945,66,223,79,1161
95100,69,223,127,1158
95125,67,220,80,1158
95265,71,223,79,1155
95312,67,227,92,1154
95313,68,226,87,1154
95397,70,225,127,1152
95419,70,218,104,1152
95420,69,222,101,1152
95475,70,232,109,1151
95534,72,217,115,1150
95902,69,219,129,1142
95916,71,218,125,1142
95918,71,222,122,1142
96005,67,226,105,1140
96102,71,217,126,1138
96112,71,217,113,1138
96119,71,220,123,1138
96120,69,228,96,1138
96121,67,225,93,1138
96319,69,229,78,1134
96325,69,226,87,1134
96426,68,228,86,1132
96538,69,229,118,1130
96547,68,225,103,1130
96634,69,228,112,1128
96835,70,221,105,1124
97053,71,239,81,1120
97247,67,217,81,1116
97465,69,221,89,1112
97467,68,217,88,1112
97541,72,223,137,1110
97559,69,228,86,1110
97560,68,219,92,1110
97562,68,230,83,1110
97563,69,223,88,1110
97565,68,228,103,1110
97567,68,220,87,1110
97675,70,227,126,1108
97683,71,220,124,1108
98092,66,232,78,1100
98100,67,228,102,1100
98208,68,227,108,1098
98225,71,239,112,1098
98330,68,226,113,1096
98341,68,229,89,1096
98542,72,221,82,1092
98551,69,226,122,1092
98629,71,217,100,1090
98630,72,218,89,1090
98634,72,226,114,1090
98676,72,217,80,1089
98740,72,227,92,1088
98870,71,223,113,1086
98871,70,226,106,1086
98963,68,223,88,1084
98964,68,223,105,1084
99146,69,217,121,1080
99172,72,219,114,1080
99173,69,230,102,1080
99230,69,235,103,1079
99287,71,242,80,1078
99293,70,221,104,1078
99296,68,217,95,1078
99298,68,234,84,1078
99408,71,241,111,1076
99411,68,223,104,1076
99518,72,222,77,1074
99645,68,229,88,1072
99701,67,220,81,1071
99761,68,224,114,1070
99775,69,221,91,1070
99983,70,223,118,1066
100164,70,234,110,1063
100222,71,241,108,1062
100226,67,225,103,1062
100332,69,235,91,1060
100445,68,222,115,1058
100455,71,242,77,1058
100461,71,220,109,1058
100462,71,225,121,1058
100581,70,223,104,1056
100582,71,227,120,1056
100583,71,225,112,1056
100686,71,219,112,1054
100694,69,226,96,1054
100695,68,229,90,1054
100807,72,221,113,1052
100808,68,221,89,1052
100908,69,219,92,1050
101022,68,221,91,1048
101140,71,229,118,1046
101194,70,230,112,1045
101249,70,228,125,1044
101262,72,218,104,1044
101270,68,221,105,1044
101488,69,218,130,1040
101489,69,221,128,1040
101556,69,236,105,1039
101611,71,237,113,1038
101612,71,220,101,1038
101727,71,218,102,1036
