,h,s,v,num
263795,15,198,144,106
263803,8,217,121,106
263806,14,165,133,106
263973,22,132,131,105
263974,20,141,119,105
263975,22,133,121,105
264148,22,147,130,105
264149,22,159,127,105
264178,21,127,116,105
264369,20,134,143,105
264370,18,152,139,105
264371,18,160,145,105
264372,16,178,132,105
264390,22,176,145,105
264469,18,194,147,105
264470,16,191,144,105
264476,9,215,114,105
264635,20,173,133,104
264636,21,140,113,104
264637,23,138,113,104
265004,20,163,150,104
265005,21,146,141,104
265006,18,151,140,104
265007,19,140,146,104
265008,21,165,145,104
265009,20,164,138,104
265127,19,157,138,104
265158,21,179,145,104
265204,21,180,149,104
265480,21,140,89,103
265481,20,139,117,103
265651,21,148,140,103
265652,21,162,148,103
265653,21,150,143,103
265694,22,137,112,103
265695,21,129,115,103
265798,18,153,138,103
265799,20,186,145,103
265896,19,149,140,103
265908,20,166,144,103
265931,18,151,149,103
265973,16,195,141,103
266111,19,141,141,102
266112,21,149,82,102
266298,22,168,146,102
266299,22,154,129,102
266448,18,159,138,102
266449,18,156,141,102
266450,19,130,145,102
266721,15,180,129,102
266738,18,182,150,102
266746,8,213,115,102
266748,14,171,130,102
266962,18,182,125,101
266963,18,171,133,101
266964,21,141,134,101
266965,20,135,121,101
266966,22,129,119,101
266967,20,142,115,101
267162,22,162,140,101
267163,20,163,136,101
267164,21,148,136,101
267165,20,161,141,101
267166,22,143,134,101
267196,24,158,92,101
267277,20,182,143,101
267278,22,165,142,101
267279,20,157,149,101
267280,20,142,144,101
267281,20,127,141,101
267282,21,155,133,101
267375,18,152,141,101
267376,17,176,138,101
267377,15,178,130,101
267468,20,168,135,101
267469,20,169,134,101
267476,18,172,142,101
267617,22,137,119,100
267618,18,133,150,100
267619,22,146,89,100
267620,21,151,88,100
267621,20,150,112,100
267804,21,164,148,100
267805,22,163,139,100
267806,22,143,130,100
267851,23,175,80,100
268096,18,148,143,100
268097,18,161,141,100
268225,18,173,150,100
268249,18,158,147,100
268468,22,133,130,99
268469,14,167,133,99
268470,23,127,116,99
268471,22,141,110,99
268472,20,141,116,99
268473,23,142,97,99
268654,20,159,149,99
268655,21,149,139,99
268656,22,140,133,99
268801,20,153,133,99
268802,22,169,137,99
268803,18,150,141,99
268804,20,157,145,99
268916,17,174,139,99
269030,18,184,148,99
269031,18,179,145,99
269180,21,154,137,98
269181,20,178,129,98
269182,22,128,120,98
269183,21,151,81,98
269184,22,146,110,98
269185,20,150,114,98
269186,20,144,113,98
269297,23,143,82,98
269396,19,140,142,98
269397,22,139,145,98
269398,23,149,132,98
269545,18,159,146,98
269546,19,145,141,98
269609,23,139,112,98
269678,19,161,138,98
269855,18,183,149,98
269856,16,193,144,98
269857,16,185,149,98
270068,18,163,139,97
270069,22,135,113,97
270158,25,139,81,97
270258,20,162,148,97
270259,21,159,136,97
270297,26,149,91,97
270298,16,174,135,97
270398,19,154,139,97
270399,18,155,146,97
270400,20,162,137,97
270487,17,188,136,97
270587,20,154,147,97
270595,17,198,147,97
270603,11,213,126,97
270604,11,225,112,97
270727,21,156,132,96
270728,18,153,148,96
270729,22,147,83,96
270730,22,153,90,96
270919,22,154,149,96
270920,22,159,143,96
271081,20,184,144,96
271082,20,161,150,96
271083,19,142,147,96
271084,23,141,110,96
271085,20,151,135,96
271235,18,159,143,96
271267,20,171,133,96
271427,16,189,146,96
271428,14,169,131,96
271437,8,218,118,96
271686,21,145,86,95
271687,23,145,95,95
271808,22,148,88,95
271901,21,158,150,95
271902,20,161,138,95
271903,21,157,148,95
271904,21,146,129,95
272051,21,181,141,95
272052,20,164,148,95
272053,21,166,144,95
272174,21,181,144,95
272266,17,199,149,95
272267,17,176,145,95
272275,11,214,125,95
272276,14,162,135,95
272399,18,183,124,94
272400,20,152,111,94
272401,21,139,88,94
272402,22,143,91,94
272403,21,151,115,94
272625,23,135,130,94
272626,23,148,133,94
272674,29,136,75,94
272825,22,169,145,94
272826,19,144,142,94
272827,19,140,149,94
272828,19,135,144,94
272829,21,166,143,94
272963,17,190,134,94
273009,21,179,147,94
273122,20,163,144,94
273123,21,183,146,94
273373,22,135,134,93
273374,18,130,147,93
273375,22,143,109,93
273376,22,141,116,93
273377,23,136,114,93
273575,20,158,144,93
273576,21,161,138,93
273618,24,160,91,93
273723,21,128,140,93
273724,22,175,146,93
273725,21,168,143,93
273830,18,161,144,93
273895,17,146,150,93
273952,21,150,134,93
273967,17,175,146,93
273968,16,184,150,93
273985,11,208,129,93
273986,12,212,129,93
274171,20,159,136,92
274172,16,167,125,92
274173,22,147,111,92
274174,16,152,138,92
274175,22,128,112,92
274176,21,149,84,92
274177,21,139,90,92
274366,20,160,142,92
274367,21,160,148,92
274368,20,143,143,92
274412,20,149,115,92
274535,20,177,150,92
274536,20,179,148,92
274537,20,178,146,92
274538,19,155,138,92
274539,22,163,144,92
274540,21,151,133,92
274586,8,131,39,92
274844,19,160,150,92
274845,18,177,147,92
274846,16,192,145,92
274864,12,205,133,92
274865,10,213,132,92
275096,18,176,129,91
275097,20,146,117,91
275098,22,138,111,91
275099,23,141,83,91
275100,22,144,94,91
275280,21,166,146,91
275281,20,168,144,91
275282,21,156,136,91
275311,22,132,112,91
275399,21,177,141,91
275400,22,166,141,91
275401,18,160,137,91
275402,20,145,141,91
275403,18,147,146,91
275404,21,133,140,91
275503,18,145,142,91
275504,19,153,145,91
275505,16,180,132,91
275523,21,168,150,91
275609,20,167,136,91
275616,18,196,146,91
275617,17,185,145,91
275618,16,199,140,91
275638,12,210,130,91
275639,9,213,115,91
275640,11,221,121,91
275757,18,154,142,90
275758,20,138,118,90
275759,23,141,98,90
275978,22,156,141,90
276035,29,129,99,90
276036,24,164,87,90
276038,15,163,133,90
276197,21,173,147,90
276198,21,175,146,90
276199,19,146,140,90
276200,18,138,150,90
276201,22,153,150,90
276202,20,178,132,90
276456,18,147,149,90
276588,17,197,150,90
276589,18,168,149,90
276606,8,214,118,90
276894,16,150,138,89
276991,26,155,89,89
277089,21,159,149,89
277090,21,161,150,89
277091,20,153,148,89
277092,21,145,144,89
277093,22,153,143,89
277094,20,166,137,89
277095,23,134,131,89
277138,24,160,89,89
277139,23,173,90,89
277207,20,153,137,89
277249,20,165,147,89
277250,20,183,145,89
277251,21,176,145,89
277252,19,147,139,89
277253,19,143,146,89
277254,18,198,138,89
277255,22,129,140,89
277256,20,162,134,89
277372,18,176,136,89
277394,21,178,146,89
277477,29,175,73,89
277484,14,173,128,89
277517,14,159,133,89
277518,15,200,143,89
277527,12,204,134,89
277540,12,218,125,89
277673,21,151,130,88
277674,21,155,79,88
277675,21,146,119,88
277798,24,151,96,88
277902,21,161,147,88
277903,21,162,146,88
277904,21,154,136,88
277905,21,150,138,88
277906,22,133,140,88
277965,19,145,120,88
278120,20,179,145,88
278121,21,169,142,88
278122,19,152,141,88
278123,21,149,135,88
278255,18,158,139,88
278256,19,158,140,88
278486,18,171,143,88
278487,16,190,146,88
278488,19,161,149,88
278489,19,150,148,88
278514,14,206,136,88
278767,19,142,140,87
278768,21,148,133,87
278769,22,148,110,87
278770,21,130,88,87
278875,22,152,79,87
278974,21,138,142,87
278975,21,145,139,87
278976,21,162,137,87
278977,21,161,135,87
278978,20,160,139,87
278979,22,144,133,87
279016,28,130,102,87
279017,26,154,91,87
279018,25,160,83,87
279143,21,180,142,87
279144,21,176,142,87
279145,22,189,136,87
279146,21,155,135,87
279147,19,134,145,87
279148,20,166,146,87
279149,20,161,149,87
279150,20,146,140,87
279151,20,150,136,87
279152,18,161,136,87
279153,20,170,135,87
279266,19,128,143,87
279267,18,135,145,87
279410,16,187,147,87
279429,10,211,133,87
279630,20,161,135,86
279631,21,149,132,86
279632,21,154,131,86
279633,22,145,134,86
279634,18,149,139,86
279736,22,144,90,86
279830,22,148,138,86
279831,24,134,133,86
279832,23,150,131,86
279833,22,150,129,86
279868,28,129,103,86
279869,23,165,88,86
279870,23,177,85,86
279871,23,178,79,86
280053,18,158,144,86
280054,20,163,147,86
280055,20,130,141,86
280056,21,178,142,86
280184,18,144,143,86
280185,21,127,142,86
280186,17,175,134,86
280187,16,174,136,86
280215,22,178,143,86
280216,20,151,150,86
280364,18,189,150,86
280365,17,173,147,86
280378,11,223,120,86
280626,18,152,138,85
280627,21,138,89,85
280628,22,144,85,85
280629,19,143,116,85
280630,21,149,116,85
280631,22,141,87,85
280738,23,145,81,85
280826,19,153,137,85
280827,21,144,140,85
280828,21,178,143,85
280829,21,154,141,85
280830,21,157,135,85
280831,21,155,140,85
280875,24,166,86,85
280876,15,172,132,85
280982,20,180,130,85
280983,20,178,149,85
280984,22,168,140,85
280985,20,128,140,85
280986,20,159,148,85
280987,20,144,142,85
280988,22,152,148,85
280989,18,162,135,85
280990,22,146,140,85
280991,21,166,140,85
281103,19,129,142,85
281104,18,135,147,85
281105,18,133,149,85
281106,16,178,135,85
281107,17,189,135,85
281108,16,176,136,85
281233,17,200,148,85
281234,15,199,132,85
281235,17,171,149,85
281257,11,206,130,85
281258,11,209,128,85
281259,14,169,130,85
281410,18,180,126,84
281411,23,131,132,84
281412,20,141,121,84
281413,22,138,118,84
281414,20,136,120,84
281415,20,140,120,84
281416,21,133,117,84
281417,21,144,110,84
281418,22,142,86,84
281419,21,143,93,84
281420,23,146,96,84
281643,19,152,143,84
281644,21,141,143,84
281645,22,154,142,84
281646,21,140,144,84
281647,22,150,146,84
281648,20,157,141,84
281649,22,161,141,84
281702,23,169,89,84
281703,26,153,90,84
281704,17,173,134,84
281776,20,144,136,84
281777,20,143,137,84
281872,21,177,144,84
281873,20,174,132,84
281874,21,146,138,84
281875,17,149,147,84
281876,18,145,148,84
281877,20,163,149,84
281878,22,155,148,84
281879,18,164,134,84
282040,18,178,135,84
282041,17,151,145,84
282133,26,127,137,84
282219,15,162,134,84
282263,17,186,144,84
282282,11,211,127,84
282586,19,154,136,83
282587,18,175,130,83
282588,22,138,131,83
282589,18,177,128,83
282590,19,142,144,83
282591,22,136,120,83
282592,23,145,97,83
282593,20,145,118,83
282594,21,152,114,83
282701,22,151,86,83
282803,19,132,143,83
282804,22,160,142,83
282805,22,127,133,83
282806,21,130,120,83
282842,27,141,76,83
282944,21,177,143,83
282945,18,154,137,83
282946,19,153,142,83
282947,19,145,144,83
282948,20,160,148,83
282949,20,171,134,83
282950,20,166,134,83
282951,14,160,132,83
283047,18,152,144,83
283048,17,177,137,83
283067,22,177,144,83
283068,22,172,150,83
283069,22,168,149,83
283070,21,180,146,83
283194,17,200,145,83
283195,17,199,146,83
283196,18,163,150,83
283197,16,186,148,83
283198,14,196,130,83
283225,12,208,131,83
283226,9,211,116,83
283404,20,154,136,82
283405,17,162,135,82
283406,23,129,132,82
283407,22,155,89,82
283408,22,146,94,82
283525,25,137,82,82
283526,29,134,76,82
283627,23,129,134,82
283681,29,128,100,82
283682,24,153,95,82
283683,26,162,85,82
283685,20,151,113,82
283686,14,172,129,82
283848,22,176,139,82
283849,21,179,141,82
283850,20,179,128,82
283851,19,156,142,82
283852,24,132,147,82
283853,22,162,145,82
283854,20,173,136,82
283989,18,157,140,82
283990,18,164,137,82
283991,20,155,132,82
283992,18,163,144,82
284079,26,128,136,82
284080,21,170,150,82
284091,18,144,149,82
284202,17,187,143,82
284203,18,190,149,82
284204,19,162,148,82
284225,11,223,113,82
284229,21,185,145,82
284274,29,177,72,82
284497,18,162,145,81
284498,21,162,131,81
284499,15,156,134,81
284500,20,144,119,81
284501,22,149,82,81
284502,22,151,91,81
284617,25,146,91,81
284717,22,138,146,81
284718,24,135,132,81
284719,23,151,130,81
