,h,s,v,num
2450,84,76,124,24122
8297,77,76,138,13982
8648,73,116,121,13600
8854,77,76,145,13398
8989,77,76,144,13290
9137,77,76,137,13156
9202,73,115,122,13100
9245,77,76,150,13056
9289,76,76,141,13014
9467,84,76,118,12842
9568,73,117,120,12750
9686,83,76,134,12664
9980,83,76,135,12424
9984,73,119,122,12418
10042,73,118,119,12368
10195,73,120,121,12230
10216,76,76,145,12212
10427,84,76,117,12036
10599,76,76,144,11892
10709,73,118,123,11808
10871,73,115,126,11670
10979,74,76,147,11598
10996,73,119,118,11586
11140,75,76,104,11466
11149,73,121,120,11460
11150,76,76,150,11460
11207,84,77,123,11408
11284,73,117,124,11356
11314,76,76,130,11328
11333,74,76,148,11314
11338,73,116,125,11310
11348,76,76,131,11302
11398,74,76,141,11270
11493,84,77,122,11194
11595,78,76,145,11124
11665,84,78,121,11078
11757,75,76,130,11010
11771,75,76,131,11002
11856,84,79,120,10934
11875,82,76,134,10920
11924,78,76,144,10886
11973,73,76,148,10854
12022,84,79,119,10816
12064,82,76,121,10782
12114,73,122,119,10742
12231,73,120,117,10674
12236,75,76,150,10668
12249,77,122,144,10656
12291,82,76,135,10622
12327,77,123,143,10594
12339,77,121,145,10584
12366,73,121,116,10560
12393,84,80,118,10535
12476,78,128,146,10486
12550,85,76,118,10444
12605,77,115,120,10394
12710,78,76,148,10324
12730,77,121,146,10308
12748,83,76,141,10298
12758,73,76,147,10292
12765,77,119,148,10290
12777,78,127,147,10284
12784,78,126,148,10274
12809,76,76,124,10254
12825,73,76,141,10246
12841,78,128,145,10228
12857,84,76,134,10216
12900,73,122,115,10186
12962,77,126,140,10146
12983,77,116,119,10130
13025,81,76,127,10100
13042,89,76,141,10094
13068,74,76,131,10074
13121,77,120,147,10046
13148,77,127,139,10030
13171,77,125,141,10014
13183,78,125,149,10010
13184,77,118,149,10010
13186,81,76,128,10008
13201,73,124,117,9996
13216,73,123,118,9984
13217,78,129,144,9984
13234,80,76,121,9970
13243,77,128,138,9966
13251,80,76,127,9958
13252,80,76,128,9956
13278,78,124,150,9940
13285,74,118,138,9938
13286,77,117,150,9938
13315,74,76,130,9916
13325,77,117,118,9908
13353,77,124,142,9888
13355,74,119,137,9886
13376,74,120,136,9872
13398,73,125,116,9860
13401,78,76,138,9858
13418,84,81,117,9849
13424,85,76,117,9846
13428,73,123,114,9842
13474,84,76,135,9814
13502,75,76,124,9794
13520,77,91,146,9785
13531,74,134,122,9780
13556,77,128,137,9768
13574,78,76,147,9758
13576,74,125,131,9758
13626,77,94,147,9737
13632,77,94,146,9733
13655,78,76,127,9718
13661,74,117,139,9714
13740,74,133,123,9666
13771,81,76,141,9646
13856,78,76,137,9596
13868,73,126,115,9588
13886,80,76,137,9574
13913,74,132,124,9552
13934,77,87,143,9542
13950,77,90,147,9533
13960,77,86,145,9526
13971,77,91,145,9521
13973,73,124,113,9520
14000,78,130,147,9508
14003,74,126,130,9506
14034,77,87,144,9492
14038,80,76,138,9490
14060,74,127,129,9474
14061,77,83,150,9472
14079,77,90,148,9462
14080,78,131,146,9462
14084,73,76,128,9460
14108,77,93,148,9445
14144,78,76,128,9426
14200,74,121,135,9396
14219,77,86,146,9380
14275,77,129,136,9346
14292,73,76,127,9334
14321,74,117,140,9324
14326,74,131,125,9322
14334,77,92,149,9317
14403,77,89,149,9286
14404,78,129,148,9286
14406,77,88,150,9285
14414,77,95,145,9282
14425,77,88,142,9272
14431,74,116,141,9266
14443,78,132,145,9260
14458,78,130,143,9254
14475,74,130,126,9244
14484,77,90,139,9240
14485,73,127,114,9240
14509,77,118,117,9222
14520,78,128,149,9214
14522,77,97,142,9213
14533,77,89,141,9205
14562,74,124,132,9188
14570,78,76,121,9184
14605,77,95,140,9169
14626,80,76,141,9152
14634,74,122,134,9148
14635,73,125,112,9148
14645,77,84,149,9144
14677,74,115,142,9128
14680,77,92,144,9126
14697,77,94,141,9119
14706,77,85,147,9112
14723,77,98,141,9104
14738,78,127,150,9096
14745,77,91,138,9089
14747,84,81,116,9089
14759,77,98,140,9084
14764,74,123,133,9080
14798,77,89,140,9063
14830,90,76,121,9042
14858,78,131,142,9030
14901,74,128,128,9008
14938,74,129,127,8992
14939,77,93,143,8991
15000,77,92,150,8965
15020,77,84,148,8956
15052,77,96,144,8938
15059,77,96,143,8937
15080,77,93,142,8929
15111,78,133,144,8908
15187,74,135,121,8866
15195,77,95,139,8861
15210,78,134,139,8852
15228,73,129,113,8840
15243,80,76,148,8832
15342,73,126,111,8790
15343,78,133,140,8790
15378,87,76,121,8772
15386,75,128,140,8768
15571,77,119,116,8682
15572,78,132,141,8682
15597,84,76,138,8668
15625,78,134,143,8648
15633,77,130,135,8644
15661,78,137,140,8628
15684,76,127,143,8616
15688,77,99,139,8615
15706,75,127,141,8608
15729,76,127,142,8594
15735,78,135,138,8592
15750,76,128,141,8586
15758,75,121,148,8582
15787,84,76,137,8570
15825,80,76,147,8554
15833,76,76,114,8552
15851,77,91,137,8543
15892,75,121,147,8522
15934,76,129,140,8502
15953,75,122,146,8494
15992,78,136,141,8474
16025,75,76,114,8460
16036,75,123,145,8456
16058,86,76,131,8444
16081,75,126,142,8432
16087,76,123,147,8430
16107,74,136,120,8420
16120,83,76,145,8412
16145,84,76,144,8400
16151,84,76,145,8398
16171,76,126,144,8392
16213,76,122,148,8374
16220,77,131,134,8372
16221,76,124,146,8372
16253,84,82,115,8359
16314,78,135,142,8340
16338,76,130,139,8332
16351,73,130,112,8326
16364,76,125,145,8318
16431,86,76,130,8288
16437,75,128,139,8286
16457,83,78,150,8276
16458,76,131,138,8276
16507,77,92,136,8261
16530,83,76,144,8250
16560,73,76,118,8232
16601,81,76,148,8210
16607,77,132,133,8208
16611,75,132,135,8206
16645,77,96,138,8193
16667,76,133,136,8188
16682,73,76,111,8182
16693,84,76,111,8176
