,h,s,v,num
23397,109,33,185,5949
23596,109,33,186,5900
23753,109,33,187,5859
24373,109,33,188,5708
25387,109,33,184,5476
25980,109,34,181,5346
26003,109,34,179,5341
26030,109,33,183,5337
26089,109,34,182,5326
26504,109,34,180,5243
26892,109,35,177,5169
26945,109,34,178,5158
27156,109,33,164,5117
27221,109,35,174,5107
27383,109,35,175,5074
27465,109,35,176,5059
28248,112,33,202,4923
28266,109,35,173,4920
28277,112,33,203,4919
28508,109,33,163,4879
29106,110,34,195,4778
29191,109,36,172,4764
29207,109,39,190,4761
29433,109,33,161,4723
29515,110,35,188,4710
29521,109,39,192,4709
29537,111,36,190,4707
29543,111,37,188,4706
29742,109,33,162,4675
29750,111,36,191,4674
29751,110,35,187,4674
29775,109,36,171,4671
29779,112,33,201,4670
29859,110,34,194,4659
29865,110,35,189,4658
29927,111,36,189,4645
29931,111,38,179,4644
29961,109,38,193,4639
30020,111,33,177,4630
30224,110,35,190,4599
30256,111,38,180,4595
30276,109,39,188,4592
30303,111,36,192,4589
30412,109,36,170,4572
30430,110,35,192,4569
30449,110,34,193,4566
30484,109,39,189,4560
30568,111,33,178,4550
30604,110,36,186,4544
30606,110,37,178,4544
30634,109,39,191,4539
30636,112,33,200,4539
30794,111,38,181,4512
30885,110,35,191,4497
30892,111,33,180,4496
30900,110,36,184,4495
30922,111,33,176,4491
30948,110,33,199,4486
30977,110,36,182,4483
31013,110,34,196,4477
31090,110,33,200,4467
31108,110,37,177,4465
31126,110,37,181,4463
31205,110,34,197,4451
31213,110,36,185,4449
31324,110,33,201,4431
31335,109,38,194,4430
31425,112,33,204,4420
31573,109,38,195,4397
31623,110,36,183,4390
31681,110,33,204,4381
31841,110,33,198,4358
31878,111,37,187,4352
32014,110,37,179,4330
32071,111,38,182,4321
32087,110,37,180,4319
32133,112,33,196,4313
32171,111,33,179,4306
32222,109,40,187,4299
32247,109,33,160,4295
32347,111,36,193,4282
32364,109,36,169,4280
32664,109,38,196,4238
32721,111,35,194,4230
32755,111,35,196,4224
32794,111,39,178,4218
32924,111,34,203,4201
32956,111,37,186,4196
32983,110,33,202,4192
33123,111,34,202,4174
33138,110,33,203,4172
33233,111,37,184,4159
33256,111,38,183,4156
33300,110,38,176,4149
33339,112,33,195,4144
33375,111,34,175,4139
33436,114,34,182,4131
33500,112,33,199,4121
33520,111,34,204,4119
33605,112,34,188,4110
33621,112,33,193,4108
33715,112,33,194,4093
33721,111,35,195,4092
