,price <= 2000,2k < price <= 2w,2w < price <= 5w,5w < price <= 10w,10w < price <= 20w,20w < price
准确率,0.087,0.4459,0.8415,0.4342,0.1765,0.0853
占比,0.0053,0.4031,0.3371,0.1631,0.0621,0.0295
